id,nomoficial,nombre_norm,barrio,comuna,tipo_c,long,geometry,metodo_match,match_score,wikidata_id,figura_nombre,partido_madre,tipo_figura,sitelinks
3,"PAZ, GRAL. AV.",GRAL. AV. PAZ,Nuñez,13.0,AVENIDA,145.4747858645993,"LINESTRING (-58.46561093444613 -34.53507012444892, -58.465767943878525 -34.53516012373912, -58.46586095932405 -34.53524695508765, -58.46597593031819 -34.53532963084649, -58.466116601524654 -34.5354160383981, -58.466338798589014 -34.535523359825596, -58.466506872184354 -34.535604202714126, -58.46661265298602 -34.535671384746706, -58.466760565799966 -34.535925542216425)",descartado,0.0,,,,,
8,"PAZ, GRAL. AV.",GRAL. AV. PAZ,Nuñez,13.0,AVENIDA,89.68114676073733,"LINESTRING (-58.46720972641727 -34.53605419399296, -58.467348432077564 -34.535918552130504, -58.46759990115368 -34.53592607894341, -58.46806514945492 -34.53610000987763)",descartado,0.0,,,,,
10,11 DE SEPTIEMBRE DE 1888,11 DE SEPTIEMBRE DE 1888,Nuñez,13.0,CALLE,38.72820076764663,"LINESTRING (-58.46793054025062 -34.53643086874658, -58.46806514945492 -34.53610000987763)",descartado,0.0,,,,,
13,"PAZ, GRAL. AV.",GRAL. AV. PAZ,Nuñez,13.0,AVENIDA,99.93614453869867,"LINESTRING (-58.468344113648705 -34.536229297819794, -58.46901735789398 -34.53652906469473, -58.4692123270257 -34.536599972748526, -58.46931079088061 -34.536642574683334)",descartado,0.0,,,,,
14,PICO,PICO,Nuñez,13.0,CALLE,137.7522208571402,"LINESTRING (-58.46502726359528 -34.536034948083625, -58.465485615777105 -34.53627389063322, -58.46630369452358 -34.536687686836736)",descartado,0.0,,,,,
18,"PAZ, GRAL. AV.",GRAL. AV. PAZ,Nuñez,13.0,AVENIDA,74.31409024865467,"LINESTRING (-58.46931079088061 -34.536642574683334, -58.46938857484927 -34.536676304101185, -58.470025401925724 -34.536957263902)",descartado,0.0,,,,,
20,3 DE FEBRERO,3 DE FEBRERO,Nuñez,13.0,CALLE,46.05100307930488,"LINESTRING (-58.46904845151857 -34.53699639931662, -58.46931079088061 -34.536642574683334)",descartado,0.0,,,,,
21,PICO,PICO,Nuñez,13.0,CALLE,135.8436558588927,"LINESTRING (-58.46630369452358 -34.536687686836736, -58.46756618812389 -34.53732639821828)",descartado,0.0,,,,,
22,11 DE SEPTIEMBRE DE 1888,11 DE SEPTIEMBRE DE 1888,Nuñez,13.0,CALLE,104.8250553687274,"LINESTRING (-58.46756618812389 -34.53732639821828, -58.46793054025062 -34.53643086874658)",descartado,0.0,,,,,
23,PICO,PICO,Nuñez,13.0,CALLE,68.33736154141829,"LINESTRING (-58.46783804631094 -34.5374621173361, -58.468480198633515 -34.53777369837224)",descartado,0.0,,,,,
27,3 DE FEBRERO,3 DE FEBRERO,Nuñez,13.0,CALLE,100.7815688382444,"LINESTRING (-58.468480198633515 -34.53777369837224, -58.46904845151857 -34.53699639931662)",descartado,0.0,,,,,
29,"PAZ, GRAL. AV.",GRAL. AV. PAZ,Nuñez,13.0,AVENIDA,125.455731940772,"LINESTRING (-58.470025401925724 -34.536957263902, -58.470208800066125 -34.537038171255794, -58.47113651921078 -34.537446999074724, -58.471230402129315 -34.53749064939773)",descartado,0.0,,,,,
32,11 DE SEPTIEMBRE DE 1888,11 DE SEPTIEMBRE DE 1888,Nuñez,13.0,CALLE,99.71244818506884,"LINESTRING (-58.4669602178343 -34.538072352636114, -58.46756618812389 -34.53732639821828)",descartado,0.0,,,,,
33,PICO,PICO,Nuñez,13.0,CALLE,99.97384819799011,"LINESTRING (-58.468480198633515 -34.53777369837224, -58.46940094443272 -34.538254935850986)",descartado,0.0,,,,,
37,"PAZ, GRAL. AV.",GRAL. AV. PAZ,Nuñez,13.0,AVENIDA,100.5618826695627,"LINESTRING (-58.47220041802847 -34.537935037363646, -58.47260296768956 -34.53811353308749, -58.4731673908295 -34.5383609599415)",descartado,0.0,,,,,
41,3 DE FEBRERO,3 DE FEBRERO,Nuñez,13.0,CALLE,101.0920766815412,"LINESTRING (-58.46789976543158 -34.53854810774596, -58.468480198633515 -34.53777369837224)",descartado,0.0,,,,,
42,PICO,PICO,Nuñez,13.0,CALLE,101.194646619403,"LINESTRING (-58.46940094443272 -34.538254935850986, -58.470341273907536 -34.53873095382001)",descartado,0.0,,,,,
44,"PAZ, GRAL. AV.",GRAL. AV. PAZ,Nuñez,13.0,AVENIDA,101.0740206997642,"LINESTRING (-58.4731673908295 -34.5383609599415, -58.47400322320223 -34.538727307403825, -58.474141351730765 -34.53878581784663)",descartado,0.0,,,,,
45,"PAZ, GRAL. AV.",GRAL. AV. PAZ,Nuñez,13.0,AVENIDA,154.6142929363611,"LINESTRING (-58.46897848519874 -34.536055316626516, -58.469628838824754 -34.53635582041761, -58.47045732432357 -34.53672212685345)",descartado,0.0,,,,,
47,11 DE SEPTIEMBRE DE 1888,11 DE SEPTIEMBRE DE 1888,Nuñez,13.0,CALLE,100.0813938577547,"LINESTRING (-58.46639108691649 -34.53884182475854, -58.4669602178343 -34.538072352636114)",descartado,0.0,,,,,
49,CUBA,CUBA,Nuñez,13.0,CALLE,68.76475870191204,"LINESTRING (-58.47277734382046 -34.53889015934395, -58.4731673908295 -34.5383609599415)",descartado,0.0,,,,,
54,PICO,PICO,Nuñez,13.0,CALLE,99.97656524023458,"LINESTRING (-58.470341273907536 -34.53873095382001, -58.47127037996868 -34.53920112002357)",descartado,0.0,,,,,
57,3 DE FEBRERO,3 DE FEBRERO,Nuñez,13.0,CALLE,101.1939707849829,"LINESTRING (-58.46732383209402 -34.53932589448244, -58.46789976543158 -34.53854810774596)",descartado,0.0,,,,,
58,"PAZ, GRAL. AV.",GRAL. AV. PAZ,Nuñez,13.0,AVENIDA,139.6005901106397,"LINESTRING (-58.474141351730765 -34.53878581784663, -58.47515804500854 -34.53921707242582, -58.47548797909249 -34.53937008048666)",descartado,0.0,,,,,
65,11 DE SEPTIEMBRE DE 1888,11 DE SEPTIEMBRE DE 1888,Nuñez,13.0,CALLE,95.63166367367384,"LINESTRING (-58.46584722011705 -34.539577067381856, -58.46639108691649 -34.53884182475854)",descartado,0.0,,,,,
66,PICO,PICO,Nuñez,13.0,CALLE,99.38845752547826,"LINESTRING (-58.47127037996868 -34.53920112002357, -58.47219396448327 -34.539668603398844)",descartado,0.0,,,,,
67,CUBA,CUBA,Nuñez,13.0,CALLE,101.6146335374219,"LINESTRING (-58.47219396448327 -34.539668603398844, -58.47277734382046 -34.53889015934395)",descartado,0.0,,,,,
76,3 DE FEBRERO,3 DE FEBRERO,Nuñez,13.0,CALLE,95.58516035268909,"LINESTRING (-58.46683665014248 -34.54007994286758, -58.466891473427076 -34.539903386191426, -58.46732383209402 -34.53932589448244)",descartado,0.0,,,,,
79,PICO,PICO,Nuñez,13.0,CALLE,101.21463984224,"LINESTRING (-58.47219396448327 -34.539668603398844, -58.473134581060705 -34.540144599725004)",descartado,0.0,,,,,
83,"PAZ, GRAL. AV.",GRAL. AV. PAZ,Saavedra,12.0,AVENIDA,212.9372593745566,"LINESTRING (-58.47548797909249 -34.53937008048666, -58.47587355366313 -34.5395489107356, -58.47634241899466 -34.539757035880434, -58.477447482510485 -34.540243897072884, -58.47753003939078 -34.54028036727998)",descartado,0.0,,,,,
85,11 DE SEPTIEMBRE DE 1888,11 DE SEPTIEMBRE DE 1888,Nuñez,13.0,CALLE,101.6731476430885,"LINESTRING (-58.46526904799383 -34.540358788105266, -58.46584722011705 -34.539577067381856)",descartado,0.0,,,,,
87,CUBA,CUBA,Nuñez,13.0,CALLE,99.79318962731924,"LINESTRING (-58.47162699826989 -34.540436127679975, -58.4721189991083 -34.53976861138399, -58.47219396448327 -34.539668603398844)",descartado,0.0,,,,,
91,"PAZ, GRAL. AV.",GRAL. AV. PAZ,Saavedra,12.0,AVENIDA,99.21503547566199,"LINESTRING (-58.47753003939078 -34.54028036727998, -58.4783679531626 -34.540650064872686, -58.478484469877934 -34.54069998128169)",descartado,0.0,,,,,
96,PICO,PICO,Nuñez,13.0,CALLE,131.3525213417523,"LINESTRING (-58.473134581060705 -34.540144599725004, -58.47326343581186 -34.54020980220429, -58.47435632597827 -34.540760919304816)",descartado,0.0,,,,,
103,PICO,PICO,Saavedra,12.0,CALLE,39.79872138460649,"LINESTRING (-58.47435632597827 -34.540760919304816, -58.474586709627985 -34.54080737827816, -58.4747658143919 -34.5408740972262)",descartado,0.0,,,,,
111,"PAZ, GRAL. AV.",GRAL. AV. PAZ,Saavedra,12.0,AVENIDA,100.2520678593017,"LINESTRING (-58.478484469877934 -34.54069998128169, -58.47945439816292 -34.54111528986121)",descartado,0.0,,,,,
113,11 DE SEPTIEMBRE DE 1888,11 DE SEPTIEMBRE DE 1888,Nuñez,13.0,CALLE,101.2631748844135,"LINESTRING (-58.46469316283516 -34.54113733687065, -58.46526904799383 -34.540358788105266)",descartado,0.0,,,,,
115,CUBA,CUBA,Nuñez,13.0,CALLE,100.553216614283,"LINESTRING (-58.47105653293562 -34.54120991721867, -58.47115379531339 -34.54107814711172, -58.47162699826989 -34.540436127679975)",descartado,0.0,,,,,
116,PICO,PICO,Saavedra,12.0,CALLE,100.528860617745,"LINESTRING (-58.47501301689153 -34.540946707853976, -58.476031598256796 -34.54127950163588)",descartado,0.0,,,,,
126,11 DE SEPTIEMBRE DE 1888,11 DE SEPTIEMBRE DE 1888,Nuñez,13.0,CALLE,46.29573856359955,"LINESTRING (-58.46442985370874 -34.54149326406158, -58.46469316283516 -34.54113733687065)",descartado,0.0,,,,,
131,PICO,PICO,Saavedra,12.0,CALLE,85.93131404374485,"LINESTRING (-58.476031598256796 -34.54127950163588, -58.47690226706739 -34.54156399239275)",descartado,0.0,,,,,
134,3 DE FEBRERO,3 DE FEBRERO,Nuñez,13.0,CALLE,100.9664991199841,"LINESTRING (-58.46563417874231 -34.54161240491072, -58.46620776066095 -34.54083582370442)",descartado,0.0,,,,,
