anio,tipo_eleccion,seccion_id,seccion_nombre,circuito_id,partido_electoral,votos_positivos,total_electores,total_votos_positivos,pct_votos
2011,presidencial,14,Comuna 14,157,PJ,6414,47775,11417,56.18
2011,presidencial,14,Comuna 14,157,PS,3481,15925,11417,30.49
2011,presidencial,15,Comuna 15,158,Centroderecha,1397,19504,13959,10.01
2011,presidencial,15,Comuna 15,158,Izquierda,518,19504,13959,3.71
2011,presidencial,15,Comuna 15,158,PJ,7366,58512,13959,52.77
2011,presidencial,15,Comuna 15,158,PS,4678,19504,13959,33.51
2011,presidencial,15,Comuna 15,159,Centroderecha,784,12203,8779,8.93
2011,presidencial,15,Comuna 15,159,Izquierda,336,12203,8779,3.83
2011,presidencial,15,Comuna 15,159,PJ,5178,36609,8779,58.98
2011,presidencial,15,Comuna 15,159,PS,2481,12203,8779,28.26
2011,presidencial,15,Comuna 15,160,Centroderecha,1633,23243,16694,9.78
2011,presidencial,15,Comuna 15,160,Izquierda,604,23243,16694,3.62
2011,presidencial,15,Comuna 15,160,PJ,8835,69729,16694,52.92
2011,presidencial,15,Comuna 15,160,PS,5622,23243,16694,33.68
2011,presidencial,15,Comuna 15,161,Centroderecha,1386,20077,14430,9.6
2011,presidencial,15,Comuna 15,161,Izquierda,576,20077,14430,3.99
2011,presidencial,15,Comuna 15,161,PJ,7911,60231,14430,54.82
2011,presidencial,15,Comuna 15,161,PS,4557,20077,14430,31.58
2011,presidencial,15,Comuna 15,162,Centroderecha,1074,16919,12357,8.69
2011,presidencial,15,Comuna 15,162,Izquierda,576,16919,12357,4.66
2011,presidencial,15,Comuna 15,162,PJ,7676,50757,12357,62.12
2011,presidencial,15,Comuna 15,162,PS,3031,16919,12357,24.53
2011,presidencial,15,Comuna 15,163,Centroderecha,695,12339,8987,7.73
2011,presidencial,15,Comuna 15,163,Izquierda,324,12339,8987,3.61
2011,presidencial,15,Comuna 15,163,PJ,5833,37017,8987,64.9
2011,presidencial,15,Comuna 15,163,PS,2135,12339,8987,23.76
