id,nomoficial,nombre_norm,barrio,comuna,tipo_c,long,geometry,metodo_match,match_score,wikidata_id,figura_nombre,partido_madre,tipo_figura
21149,PALMAR,PALMAR,Liniers,9.0,CALLE,31.05158199439719,"LINESTRING (-58.52320926377385 -34.64361709849834, -58.52354738560245 -34.64363305881746)",ambiguo_fuzzy,90.9,AMBIGUO,Vito De Palma | Omar Palma | Juan Palma,,
21152,PALMAR,PALMAR,Liniers,9.0,CALLE,27.35025480292476,"LINESTRING (-58.52354738560245 -34.64363305881746, -58.523845202203404 -34.64364713679207)",ambiguo_fuzzy,90.9,AMBIGUO,Vito De Palma | Omar Palma | Juan Palma,,
21154,COREA AV.,COREA,Flores,7.0,AVENIDA,31.13440534148695,"LINESTRING (-58.44192353881825 -34.64366677166529, -58.44159354040507 -34.643600586062966)",ambiguo_fuzzy,90.9,AMBIGUO,Francisco E. Correa | Cirilo Correa,,
21158,CRESPO,CRESPO,Parque Chacabuco,7.0,CALLE,45.10070450378913,"LINESTRING (-58.43762663688655 -34.643282700139146, -58.43748967038115 -34.643673167444355)",ambiguo,100.0,AMBIGUO,Manuel Crespo | Domingo Crespo | Ignacio Crespo,,
21159,PALMAR,PALMAR,Liniers,9.0,CALLE,27.35805429046421,"LINESTRING (-58.523845202203404 -34.64364713679207, -58.52414310411317 -34.64366121399672)",ambiguo_fuzzy,90.9,AMBIGUO,Vito De Palma | Omar Palma | Juan Palma,,
21163,PALMAR,PALMAR,Liniers,9.0,CALLE,27.34980512861524,"LINESTRING (-58.52414310411317 -34.64366121399672, -58.524440920861544 -34.64367522009316)",ambiguo_fuzzy,90.9,AMBIGUO,Vito De Palma | Omar Palma | Juan Palma,,
21169,PALMAR,PALMAR,Liniers,9.0,CALLE,22.8194780071682,"LINESTRING (-58.524440920861544 -34.64367522009316, -58.52468939987118 -34.643686996769006)",ambiguo_fuzzy,90.9,AMBIGUO,Vito De Palma | Omar Palma | Juan Palma,,
21179,PALMAR,PALMAR,Liniers,9.0,CALLE,34.03310263360331,"LINESTRING (-58.52468939987118 -34.643686996769006, -58.52505998815282 -34.64370448585444)",ambiguo_fuzzy,90.9,AMBIGUO,Vito De Palma | Omar Palma | Juan Palma,,
21182,HERRERA,HERRERA,Barracas,4.0,CALLE,114.7578430663728,"LINESTRING (-58.376496773301106 -34.64268485751345, -58.37623071904687 -34.64369566187193)",ambiguo,100.0,AMBIGUO,Julio Herrera | Luis Beder Herrera | Nicolás Herrera | José Antonio Ortiz y Herrera,,
21185,PALMAR,PALMAR,Liniers,9.0,CALLE,30.29232777066794,"LINESTRING (-58.52505998815282 -34.64370448585444, -58.52538984506404 -34.643720022711236)",ambiguo_fuzzy,90.9,AMBIGUO,Vito De Palma | Omar Palma | Juan Palma,,
21186,COREA AV.,COREA,Flores,7.0,AVENIDA,33.00079991628677,"LINESTRING (-58.44227330531797 -34.64373697390189, -58.44192353881825 -34.64366677166529)",ambiguo_fuzzy,90.9,AMBIGUO,Francisco E. Correa | Cirilo Correa,,
21188,COREA AV.,COREA,Flores,7.0,AVENIDA,43.43452754982536,"LINESTRING (-58.44331717167191 -34.64352264058676, -58.44322751486949 -34.64359220390824, -58.4430816996883 -34.64368358903307, -58.44292984225759 -34.64374250791445)",ambiguo_fuzzy,90.9,AMBIGUO,Francisco E. Correa | Cirilo Correa,,
21191,PALMAR,PALMAR,Liniers,9.0,CALLE,30.425369755823,"LINESTRING (-58.52538984506404 -34.643720022711236, -58.52572115070834 -34.64373562835727)",ambiguo_fuzzy,90.9,AMBIGUO,Vito De Palma | Omar Palma | Juan Palma,,
21194,PALMAR,PALMAR,Liniers,9.0,CALLE,36.86598224042002,"LINESTRING (-58.52572115070834 -34.64373562835727, -58.526122586317975 -34.643754577305295)",ambiguo_fuzzy,90.9,AMBIGUO,Vito De Palma | Omar Palma | Juan Palma,,
21197,ESCALADA AV.,ESCALADA,,,AVENIDA,58.15444114086175,"LINESTRING (-58.4971362556928 -34.64340824476785, -58.49667558956486 -34.64376858597072)",ambiguo,100.0,AMBIGUO,Manuel María Escalada | Francisco Antonio de Escalada | Antonio José de Escalada | Daniel Domingo de Escalada | Manuel Escalada | Mariano Escalada,,
21199,VARELA AV.,VARELA,Flores,7.0,AVENIDA,63.81896156204201,"LINESTRING (-58.45442164886111 -34.643345361540334, -58.45405964403415 -34.64367949237504, -58.45395721184181 -34.6437738515544)",ambiguo,100.0,AMBIGUO,Juan Cruz Varela | Florencio Varela | Mariano Adrián Varela | Rufino Varela | Felipe Varela,,
