"radios","cod_prov","Provincia","cod_depto","Departamento","PNIV_ASI_Sin instrucción","PNIV_ASI_Primario incompleto","PNIV_ASI_Primario completo","PNIV_ASI_EGB incompleto","PNIV_ASI_EGB completo","PNIV_ASI_Secundario incompleto","PNIV_ASI_Secundario completo","PNIV_ASI_Polimodal incompleto","PNIV_ASI_Polimodal completo","PNIV_ASI_Terciario no universitario incompleto","PNIV_ASI_Terciario no universitario completo","PNIV_ASI_Universitario de grado incompleto","PNIV_ASI_Universitario de grado completo","PNIV_ASI_Posgrado (especialización, maestría o doctorado) incompleto","PNIV_ASI_Posgrado (especialización, maestría o doctorado) completo","PNIV_ASI_Ignorado","Total"
"020070101","02","Caba","02007","Comuna 1",1,2,12,0,0,15,39,0,1,4,8,6,24,1,5,4,122
"020070201","02","Caba","02007","Comuna 1",4,19,39,0,0,79,96,2,2,6,20,11,15,0,5,0,298
"020070202","02","Caba","02007","Comuna 1",5,26,35,0,0,75,58,0,2,3,6,6,2,0,1,2,221
"020070203","02","Caba","02007","Comuna 1",1,8,21,0,0,30,47,0,1,8,9,3,0,0,0,1,129
"020070204","02","Caba","02007","Comuna 1",5,23,73,0,0,92,90,0,0,9,19,7,2,0,3,3,326
"020070205","02","Caba","02007","Comuna 1",7,22,59,0,0,101,86,1,0,11,11,7,5,0,5,7,322
"020070207","02","Caba","02007","Comuna 1",8,38,64,0,1,149,126,1,1,13,16,6,9,1,2,7,442
"020070208","02","Caba","02007","Comuna 1",5,30,57,0,0,88,121,1,1,10,15,10,11,1,3,0,353
"020070209","02","Caba","02007","Comuna 1",1,19,30,0,0,59,101,1,1,8,14,5,2,1,1,1,244
"020070210","02","Caba","02007","Comuna 1",2,15,39,0,0,45,66,0,1,4,13,7,4,0,2,4,202
"020070211","02","Caba","02007","Comuna 1",11,41,45,0,0,86,113,0,3,9,11,10,11,1,2,7,350
"020070212","02","Caba","02007","Comuna 1",19,35,111,1,1,169,215,1,1,15,20,12,14,0,1,2,617
"020070213","02","Caba","02007","Comuna 1",3,18,33,0,0,71,79,0,0,9,11,11,13,1,4,2,255
"020070214","02","Caba","02007","Comuna 1",4,25,46,0,1,67,117,2,0,8,17,6,15,0,2,3,313
"020070215","02","Caba","02007","Comuna 1",5,34,75,0,2,111,127,1,1,6,11,8,11,0,0,4,396
"020070216","02","Caba","02007","Comuna 1",3,11,46,0,0,56,76,0,1,3,6,8,5,0,1,1,217
"020070217","02","Caba","02007","Comuna 1",16,26,64,1,0,78,119,1,3,5,9,6,7,0,1,2,338
"020070218","02","Caba","02007","Comuna 1",8,24,62,0,0,57,117,1,0,7,12,5,4,0,0,11,308
"020070219","02","Caba","02007","Comuna 1",5,16,39,0,0,43,58,0,0,2,8,1,3,1,0,2,178
"020070220","02","Caba","02007","Comuna 1",2,20,34,0,0,47,65,0,0,6,8,5,2,0,0,1,190
"020070221","02","Caba","02007","Comuna 1",3,33,91,0,1,106,176,0,2,10,20,18,4,0,2,5,471
"020070222","02","Caba","02007","Comuna 1",16,36,74,0,1,86,162,1,3,13,19,6,5,0,2,9,433
"020070223","02","Caba","02007","Comuna 1",19,43,82,0,0,99,164,3,0,6,19,5,6,0,0,2,448
"020070301","02","Caba","02007","Comuna 1",4,23,46,0,0,61,55,1,0,5,6,3,3,0,0,3,210
"020070302","02","Caba","02007","Comuna 1",25,68,154,1,0,154,199,2,3,6,20,14,18,0,11,12,687
"020070303","02","Caba","02007","Comuna 1",2,25,35,0,0,61,52,0,1,2,11,5,1,0,1,0,196
"020070304","02","Caba","02007","Comuna 1",4,27,29,0,0,70,69,0,0,7,2,3,0,0,0,1,212
"020070305","02","Caba","02007","Comuna 1",18,67,105,0,0,100,127,1,2,6,17,4,2,1,0,6,456
"020070306","02","Caba","02007","Comuna 1",4,21,26,1,0,51,62,0,2,4,10,6,3,1,3,3,197
"020070307","02","Caba","02007","Comuna 1",12,37,85,0,0,100,195,0,1,9,17,2,10,0,2,4,474
"020070308","02","Caba","02007","Comuna 1",10,60,107,0,0,88,162,3,3,4,16,8,6,0,1,3,471
"020070309","02","Caba","02007","Comuna 1",10,24,47,0,0,45,81,1,0,8,11,4,14,0,5,6,256
"020070310","02","Caba","02007","Comuna 1",20,69,156,0,0,137,230,1,0,12,19,9,15,0,3,3,674
"020070311","02","Caba","02007","Comuna 1",12,30,70,0,1,67,116,1,2,5,9,4,5,0,2,2,326
"020070312","02","Caba","02007","Comuna 1",33,23,48,0,0,50,106,0,1,9,23,12,17,1,7,1,331
"020070313","02","Caba","02007","Comuna 1",1,29,53,0,0,61,98,0,0,3,4,3,6,0,1,1,260
"020070314","02","Caba","02007","Comuna 1",7,24,63,0,0,74,101,0,0,4,0,4,0,0,0,3,280
"020070315","02","Caba","02007","Comuna 1",9,59,83,0,0,95,123,0,2,5,6,6,0,0,2,2,392
"020070316","02","Caba","02007","Comuna 1",2,29,38,0,1,45,52,0,0,1,2,1,0,0,0,0,171
"020070317","02","Caba","02007","Comuna 1",8,32,86,0,0,64,79,0,0,1,5,1,2,0,2,6,286
"020070318","02","Caba","02007","Comuna 1",2,16,37,0,0,27,60,0,0,1,3,3,2,0,0,1,152
"020070319","02","Caba","02007","Comuna 1",2,26,39,1,1,32,43,0,0,0,4,6,1,0,0,2,157
"020070401","02","Caba","02007","Comuna 1",4,4,20,0,0,26,106,0,2,20,68,45,193,2,91,6,587
"020070402","02","Caba","02007","Comuna 1",12,12,41,1,3,31,110,7,5,14,89,61,201,9,98,5,699
"020070403","02","Caba","02007","Comuna 1",14,4,13,0,0,8,65,1,0,9,39,31,120,1,60,2,367
"020070404","02","Caba","02007","Comuna 1",2,4,21,0,2,22,113,1,1,8,42,31,167,3,75,0,492
"020070405","02","Caba","02007","Comuna 1",2,2,15,0,2,13,39,0,1,5,34,20,97,2,40,3,275
"020070406","02","Caba","02007","Comuna 1",7,5,19,1,0,25,84,0,2,10,46,37,150,7,68,2,463
"020070407","02","Caba","02007","Comuna 1",0,4,20,0,4,12,85,1,2,3,49,31,173,4,64,3,455
"020070408","02","Caba","02007","Comuna 1",0,5,25,0,1,15,89,0,1,11,45,27,136,6,95,3,459
"020070501","02","Caba","02007","Comuna 1",0,20,45,1,1,30,91,0,0,10,53,22,146,9,64,11,503
"020070502","02","Caba","02007","Comuna 1",1,2,10,0,4,10,55,0,0,8,40,31,130,2,53,2,348
"020070503","02","Caba","02007","Comuna 1",4,6,30,0,2,18,81,3,14,13,81,55,249,10,100,2,668
"020070504","02","Caba","02007","Comuna 1",0,2,28,0,1,33,100,0,2,14,88,59,215,3,111,5,661
"020070505","02","Caba","02007","Comuna 1",2,3,18,0,0,15,50,0,1,6,36,32,117,3,51,2,336
"020070506","02","Caba","02007","Comuna 1",0,7,14,0,2,17,71,0,3,18,69,55,182,8,91,2,539
"020070507","02","Caba","02007","Comuna 1",0,6,18,0,2,14,63,1,0,5,56,25,148,8,66,2,414
"020070601","02","Caba","02007","Comuna 1",4,3,24,0,0,19,87,0,4,16,57,32,224,4,108,3,585
"020070602","02","Caba","02007","Comuna 1",0,3,12,0,2,15,50,0,2,14,50,45,140,4,89,1,427
"020070603","02","Caba","02007","Comuna 1",0,3,15,0,2,20,116,0,0,23,79,63,242,11,135,4,713
"020070604","02","Caba","02007","Comuna 1",1,2,26,0,0,25,81,1,2,22,69,50,191,7,112,7,596
"020070605","02","Caba","02007","Comuna 1",0,1,13,0,0,11,39,1,1,7,24,19,109,6,46,2,279
"020070606","02","Caba","02007","Comuna 1",0,1,13,0,0,16,63,0,2,4,34,30,129,11,76,3,382
"020070607","02","Caba","02007","Comuna 1",0,1,14,0,0,15,37,0,2,4,31,33,119,5,67,3,331
"020070608","02","Caba","02007","Comuna 1",1,3,19,0,0,15,58,0,2,9,38,34,102,7,67,3,358
"020070609","02","Caba","02007","Comuna 1",1,6,45,0,0,20,95,0,5,14,98,61,317,8,129,12,811
"020070610","02","Caba","02007","Comuna 1",1,3,23,0,1,22,59,2,3,14,40,27,145,5,56,0,401
"020070701","02","Caba","02007","Comuna 1",1,6,45,0,0,28,96,1,1,15,68,49,160,5,62,6,543
"020070702","02","Caba","02007","Comuna 1",1,4,3,0,0,2,32,0,0,3,25,18,58,5,36,4,191
"020070703","02","Caba","02007","Comuna 1",3,7,7,0,0,8,26,0,2,5,23,22,49,5,14,4,175
"020070704","02","Caba","02007","Comuna 1",2,1,9,0,1,15,38,0,1,9,36,30,62,2,30,1,237
"020070705","02","Caba","02007","Comuna 1",1,1,12,0,0,12,59,1,2,12,30,28,86,3,31,5,283
"020070706","02","Caba","02007","Comuna 1",0,5,15,1,0,21,59,0,0,11,31,24,46,0,18,3,234
"020070707","02","Caba","02007","Comuna 1",1,9,22,0,2,32,93,4,3,13,65,49,135,9,43,8,488
"020070708","02","Caba","02007","Comuna 1",0,3,19,0,1,16,78,2,2,7,37,46,108,1,45,4,369
"020070709","02","Caba","02007","Comuna 1",0,4,15,0,0,21,50,1,2,6,43,41,81,4,40,8,316
"020070710","02","Caba","02007","Comuna 1",0,2,16,0,0,26,76,0,2,13,47,42,112,6,22,4,368
"020070711","02","Caba","02007","Comuna 1",1,5,9,0,0,16,48,1,4,8,21,24,61,1,19,3,221
"020070712","02","Caba","02007","Comuna 1",3,4,14,0,0,20,78,0,2,8,45,34,72,4,31,2,317
"020070713","02","Caba","02007","Comuna 1",13,2,10,0,0,7,46,1,1,8,17,18,38,1,6,1,169
"020070801","02","Caba","02007","Comuna 1",1,6,10,0,1,24,49,0,2,7,31,24,110,3,29,0,297
"020070802","02","Caba","02007","Comuna 1",1,13,23,0,1,45,128,0,3,17,90,70,230,10,99,4,734
"020070803","02","Caba","02007","Comuna 1",2,5,18,0,0,33,88,0,0,17,57,43,162,8,74,5,512
"020070804","02","Caba","02007","Comuna 1",1,2,12,0,0,17,45,1,3,16,32,43,104,11,47,2,336
"020070805","02","Caba","02007","Comuna 1",0,5,15,0,0,18,40,0,1,6,47,22,85,7,29,4,279
"020070806","02","Caba","02007","Comuna 1",3,4,30,0,0,29,112,1,6,14,85,69,243,10,87,9,702
"020070807","02","Caba","02007","Comuna 1",5,8,23,0,0,34,124,0,3,18,107,77,260,12,119,6,796
"020070808","02","Caba","02007","Comuna 1",3,5,5,1,2,16,57,1,2,10,51,24,110,4,56,2,349
"020070809","02","Caba","02007","Comuna 1",1,2,11,1,0,10,61,0,0,7,41,21,93,6,31,1,286
"020070810","02","Caba","02007","Comuna 1",0,1,10,0,2,18,59,0,1,12,20,18,57,2,17,2,219
"020070811","02","Caba","02007","Comuna 1",0,1,15,0,1,11,29,0,0,7,25,17,72,1,34,1,214
"020070901","02","Caba","02007","Comuna 1",10,7,15,0,0,15,55,0,1,12,36,28,73,4,30,3,289
"020070902","02","Caba","02007","Comuna 1",3,7,38,0,1,46,88,2,2,17,39,41,93,5,16,3,401
"020070903","02","Caba","02007","Comuna 1",6,5,30,1,0,21,59,3,1,6,33,25,61,6,22,4,283
"020070904","02","Caba","02007","Comuna 1",16,5,10,0,0,22,58,0,1,9,44,32,74,1,16,3,291
"020070905","02","Caba","02007","Comuna 1",13,2,22,0,0,35,80,1,4,12,29,41,74,8,16,1,338
"020070906","02","Caba","02007","Comuna 1",13,5,22,2,0,37,91,2,9,17,54,43,100,5,24,10,434
"020070907","02","Caba","02007","Comuna 1",21,7,26,0,0,39,94,1,7,15,50,46,125,2,28,5,466
"020070908","02","Caba","02007","Comuna 1",10,3,16,0,0,22,76,0,3,9,36,45,81,2,37,3,343
"020070909","02","Caba","02007","Comuna 1",3,10,30,0,0,43,152,1,4,15,65,76,169,6,36,9,619
"020070910","02","Caba","02007","Comuna 1",3,8,12,0,0,11,49,0,4,8,39,37,96,5,21,1,294
"020070911","02","Caba","02007","Comuna 1",12,1,7,0,0,9,29,0,4,5,26,32,61,2,25,0,213
"020070912","02","Caba","02007","Comuna 1",11,3,14,0,1,13,26,1,2,6,28,22,54,1,15,1,198
"020070913","02","Caba","02007","Comuna 1",11,0,3,0,1,7,37,1,4,7,59,23,144,6,77,3,383
"020070914","02","Caba","02007","Comuna 1",2,7,27,0,0,19,84,0,2,11,46,31,77,3,18,6,333
"020070915","02","Caba","02007","Comuna 1",0,2,18,0,0,22,54,0,2,14,15,20,67,5,17,3,239
"020070916","02","Caba","02007","Comuna 1",21,6,16,0,1,33,76,0,1,10,30,25,68,2,7,4,300
"020070917","02","Caba","02007","Comuna 1",8,3,5,0,0,23,44,0,4,6,9,13,40,2,3,2,162
"020070918","02","Caba","02007","Comuna 1",10,5,5,0,0,15,67,0,4,16,27,23,54,2,11,4,243
"020070919","02","Caba","02007","Comuna 1",5,5,19,0,0,12,26,0,1,9,21,17,32,3,7,0,157
"020070920","02","Caba","02007","Comuna 1",17,4,24,1,0,40,104,1,2,12,35,36,91,4,18,3,392
"020070921","02","Caba","02007","Comuna 1",9,5,10,1,2,19,54,0,0,8,23,20,51,6,13,3,224
"020071001","02","Caba","02007","Comuna 1",4,2,8,2,1,14,47,0,1,4,24,26,58,3,42,1,237
"020071002","02","Caba","02007","Comuna 1",28,2,14,2,0,22,85,0,7,10,41,34,137,8,43,6,439
"020071003","02","Caba","02007","Comuna 1",4,7,33,0,2,29,112,0,3,19,87,55,124,4,61,4,544
"020071004","02","Caba","02007","Comuna 1",14,3,15,0,0,25,64,0,5,14,40,31,101,4,46,1,363
"020071005","02","Caba","02007","Comuna 1",11,9,23,0,1,24,68,0,3,7,46,40,107,7,36,2,384
"020071006","02","Caba","02007","Comuna 1",33,8,42,1,1,46,113,0,6,13,57,43,122,8,55,3,551
"020071007","02","Caba","02007","Comuna 1",0,3,30,0,0,20,72,0,3,14,34,31,67,2,7,9,292
"020071008","02","Caba","02007","Comuna 1",7,5,16,0,0,18,62,0,3,15,31,31,93,3,22,1,307
"020071009","02","Caba","02007","Comuna 1",24,8,38,0,1,33,78,1,4,17,36,44,67,2,25,6,384
"020071010","02","Caba","02007","Comuna 1",10,6,33,0,0,49,97,4,6,19,56,58,118,4,47,6,513
"020071011","02","Caba","02007","Comuna 1",17,13,30,0,0,44,95,1,2,21,56,59,127,11,58,5,539
"020071012","02","Caba","02007","Comuna 1",22,4,20,0,2,27,75,0,1,13,41,39,104,6,34,7,395
"020071013","02","Caba","02007","Comuna 1",31,3,15,1,0,19,73,0,7,15,46,31,86,4,32,4,367
"020071014","02","Caba","02007","Comuna 1",6,4,18,0,0,13,57,1,4,10,22,29,47,4,13,2,230
"020071015","02","Caba","02007","Comuna 1",9,1,7,0,1,10,41,0,0,9,23,18,41,3,12,4,179
"020071016","02","Caba","02007","Comuna 1",4,2,16,0,1,7,41,0,1,13,25,18,45,1,11,2,187
"020071101","02","Caba","02007","Comuna 1",1,4,19,0,1,25,79,1,3,10,46,33,72,4,14,5,317
"020071102","02","Caba","02007","Comuna 1",0,2,25,0,1,37,95,0,1,19,49,51,96,6,30,7,419
"020071103","02","Caba","02007","Comuna 1",1,5,38,0,1,32,78,0,6,9,23,20,39,1,6,2,261
"020071104","02","Caba","02007","Comuna 1",0,4,31,0,2,35,106,0,2,17,60,36,118,1,37,4,453
"020071105","02","Caba","02007","Comuna 1",0,2,29,0,0,39,99,1,2,11,36,40,76,1,18,7,361
"020071106","02","Caba","02007","Comuna 1",1,8,19,0,0,22,68,0,1,10,35,26,86,4,16,2,298
"020071107","02","Caba","02007","Comuna 1",2,7,40,0,0,28,91,0,4,22,35,42,100,1,29,2,403
"020071108","02","Caba","02007","Comuna 1",1,5,24,0,1,29,105,0,1,21,56,56,108,4,35,1,447
"020071109","02","Caba","02007","Comuna 1",0,2,23,2,0,12,76,0,1,18,41,28,65,9,20,3,300
"020071110","02","Caba","02007","Comuna 1",3,7,29,0,2,34,101,0,2,9,44,35,77,4,19,1,367
"020071111","02","Caba","02007","Comuna 1",1,4,20,0,0,20,58,1,1,11,32,14,50,1,17,1,231
"020071112","02","Caba","02007","Comuna 1",1,2,10,0,0,21,41,1,3,13,24,24,61,4,11,4,220
"020071113","02","Caba","02007","Comuna 1",0,11,20,0,0,26,80,0,0,17,53,28,63,5,30,3,336
"020071114","02","Caba","02007","Comuna 1",2,7,19,0,1,36,93,0,1,12,54,35,115,5,19,5,404
"020071115","02","Caba","02007","Comuna 1",2,11,20,0,2,26,103,0,4,16,38,52,79,5,32,2,392
"020071201","02","Caba","02007","Comuna 1",2,2,17,0,0,31,52,0,2,9,21,14,52,0,9,0,211
"020071202","02","Caba","02007","Comuna 1",3,2,18,0,0,25,55,0,2,13,25,19,69,6,15,2,254
"020071203","02","Caba","02007","Comuna 1",8,2,11,0,0,21,49,0,5,2,20,17,44,0,5,4,188
"020071204","02","Caba","02007","Comuna 1",2,2,22,0,0,39,97,0,1,18,28,27,61,1,5,6,309
"020071205","02","Caba","02007","Comuna 1",0,6,20,0,1,15,71,0,1,11,39,35,76,3,38,1,317
"020071206","02","Caba","02007","Comuna 1",2,5,28,0,1,39,85,0,3,18,51,37,80,2,16,2,369
"020071207","02","Caba","02007","Comuna 1",1,20,44,1,1,80,169,3,8,17,68,74,126,8,24,4,648
"020071208","02","Caba","02007","Comuna 1",0,4,13,0,0,22,44,1,1,10,19,16,43,2,9,1,185
"020071209","02","Caba","02007","Comuna 1",2,11,30,0,1,22,92,0,1,14,36,35,99,3,22,2,370
"020071210","02","Caba","02007","Comuna 1",2,6,19,1,0,27,70,0,1,5,20,22,42,4,10,2,231
"020071211","02","Caba","02007","Comuna 1",1,6,37,1,0,33,87,0,4,14,29,28,64,2,11,8,325
"020071212","02","Caba","02007","Comuna 1",2,2,8,1,1,29,52,1,1,12,24,25,49,3,6,3,219
"020071213","02","Caba","02007","Comuna 1",0,3,27,0,0,31,71,1,0,9,22,20,47,2,19,3,255
"020071214","02","Caba","02007","Comuna 1",5,3,22,0,0,38,68,0,0,16,40,30,69,5,17,2,315
"020071301","02","Caba","02007","Comuna 1",1,1,17,0,1,19,68,0,2,10,37,48,135,3,63,4,409
"020071302","02","Caba","02007","Comuna 1",5,3,7,0,1,8,22,0,0,5,15,11,40,0,33,1,151
"020071303","02","Caba","02007","Comuna 1",4,1,6,1,1,10,45,0,0,7,32,22,63,6,33,6,237
"020071304","02","Caba","02007","Comuna 1",4,7,42,0,0,30,76,1,0,14,52,26,109,1,52,3,417
"020071305","02","Caba","02007","Comuna 1",12,3,14,0,0,28,68,0,2,7,57,38,110,4,61,1,405
"020071306","02","Caba","02007","Comuna 1",11,4,12,1,1,20,46,0,3,6,22,35,82,4,39,2,288
"020071307","02","Caba","02007","Comuna 1",13,6,29,0,1,32,148,0,7,17,62,52,228,7,114,6,722
"020071308","02","Caba","02007","Comuna 1",8,1,14,0,1,18,47,0,0,10,62,25,104,6,56,2,354
"020071309","02","Caba","02007","Comuna 1",2,2,6,0,1,19,57,0,1,9,51,34,144,4,60,4,394
"020071310","02","Caba","02007","Comuna 1",6,7,25,0,1,37,143,2,2,11,80,87,253,1,101,7,763
"020071311","02","Caba","02007","Comuna 1",3,0,11,0,0,3,44,0,0,7,37,22,99,1,52,3,282
"020071312","02","Caba","02007","Comuna 1",8,1,10,0,0,25,54,1,1,14,29,48,121,0,58,4,374
"020071313","02","Caba","02007","Comuna 1",3,1,8,0,0,11,42,0,2,3,18,11,58,1,29,3,190
"020071314","02","Caba","02007","Comuna 1",2,3,14,0,0,20,97,0,3,17,41,41,118,3,64,7,430
"020071315","02","Caba","02007","Comuna 1",2,1,10,0,0,24,84,0,1,11,54,49,159,6,64,5,470
"020071316","02","Caba","02007","Comuna 1",14,29,72,0,0,84,214,2,0,28,35,12,25,0,4,4,523
"020071317","02","Caba","02007","Comuna 1",5,13,53,0,0,65,146,0,1,14,26,15,19,0,4,7,368
"020071318","02","Caba","02007","Comuna 1",0,22,50,0,1,58,116,3,1,14,23,14,8,0,3,1,314
"020071401","02","Caba","02007","Comuna 1",0,6,29,0,0,39,88,0,1,17,57,42,73,6,35,7,400
"020071402","02","Caba","02007","Comuna 1",0,25,73,0,1,82,128,0,0,15,44,26,57,1,23,3,478
"020071403","02","Caba","02007","Comuna 1",0,3,25,0,0,28,62,0,0,18,34,18,41,0,8,4,241
"020071404","02","Caba","02007","Comuna 1",1,1,10,0,2,16,47,1,0,12,32,31,47,2,21,5,228
"020071405","02","Caba","02007","Comuna 1",2,12,31,0,0,67,116,0,1,17,52,44,93,4,25,4,468
"020071406","02","Caba","02007","Comuna 1",7,9,25,0,0,41,89,0,5,15,51,33,74,4,40,3,396
"020071407","02","Caba","02007","Comuna 1",2,7,30,0,0,33,89,0,1,16,58,43,104,6,28,3,420
"020071408","02","Caba","02007","Comuna 1",1,9,24,0,1,41,74,0,1,12,18,23,55,3,18,4,284
"020071409","02","Caba","02007","Comuna 1",1,8,24,0,0,41,78,0,0,12,44,30,47,1,19,2,307
"020071410","02","Caba","02007","Comuna 1",1,2,25,1,0,28,47,0,0,15,39,41,71,7,34,6,317
"020071411","02","Caba","02007","Comuna 1",0,2,11,0,0,13,57,0,4,16,32,29,40,1,22,1,228
"020071412","02","Caba","02007","Comuna 1",0,11,13,0,0,37,54,0,3,10,27,34,63,3,22,3,280
"020071501","02","Caba","02007","Comuna 1",2,7,29,0,0,36,114,0,7,21,68,38,102,2,23,6,455
"020071502","02","Caba","02007","Comuna 1",5,7,35,1,1,48,118,0,5,18,70,56,91,4,35,8,502
"020071503","02","Caba","02007","Comuna 1",1,6,35,1,1,31,86,0,4,11,36,40,86,8,21,7,374
"020071504","02","Caba","02007","Comuna 1",2,6,41,0,1,38,94,1,9,24,95,82,184,9,66,2,654
"020071505","02","Caba","02007","Comuna 1",0,15,31,0,1,32,73,0,3,16,52,29,88,5,27,2,374
"020071506","02","Caba","02007","Comuna 1",0,12,29,0,1,37,89,2,3,16,35,39,90,6,20,6,385
"020071507","02","Caba","02007","Comuna 1",0,1,12,0,0,39,92,0,7,23,60,29,75,9,38,3,388
"020071508","02","Caba","02007","Comuna 1",9,12,36,0,0,65,146,1,4,15,55,33,87,3,31,6,503
"020071509","02","Caba","02007","Comuna 1",9,11,41,0,2,62,124,0,4,15,85,66,133,5,49,3,609
"020071510","02","Caba","02007","Comuna 1",4,13,42,0,0,36,141,1,4,12,48,36,88,3,26,2,456
"020071511","02","Caba","02007","Comuna 1",1,3,18,0,1,45,97,2,0,12,51,39,77,2,28,3,379
"020071601","02","Caba","02007","Comuna 1",1,16,28,0,0,40,89,0,1,6,47,26,81,4,12,1,352
"020071602","02","Caba","02007","Comuna 1",0,3,12,0,2,22,63,0,2,16,32,21,39,3,15,3,233
"020071603","02","Caba","02007","Comuna 1",7,4,21,0,0,42,122,2,5,16,57,44,112,4,33,6,475
"020071604","02","Caba","02007","Comuna 1",0,2,26,1,1,25,80,1,3,17,52,32,87,2,26,4,359
"020071605","02","Caba","02007","Comuna 1",0,1,14,0,0,16,51,0,1,11,32,17,47,0,19,1,210
"020071606","02","Caba","02007","Comuna 1",2,8,25,0,0,26,66,0,3,17,46,21,54,4,21,2,295
"020071607","02","Caba","02007","Comuna 1",1,19,42,3,1,61,164,1,3,23,83,58,143,3,48,9,662
"020071608","02","Caba","02007","Comuna 1",1,5,23,1,0,33,98,1,3,16,43,29,59,3,19,4,338
"020071609","02","Caba","02007","Comuna 1",0,5,18,0,0,15,51,0,1,3,33,22,52,7,20,3,230
"020071610","02","Caba","02007","Comuna 1",0,8,33,1,1,34,101,1,0,8,45,26,76,6,15,3,358
"020071611","02","Caba","02007","Comuna 1",0,2,19,0,0,22,63,0,3,17,22,16,67,2,21,2,256
"020071612","02","Caba","02007","Comuna 1",0,6,11,1,0,15,47,0,0,10,26,27,41,4,11,3,202
"020071701","02","Caba","02007","Comuna 1",1,14,77,4,0,87,159,0,4,22,50,64,96,6,36,6,626
"020071702","02","Caba","02007","Comuna 1",0,6,29,0,0,24,62,0,2,13,28,25,53,4,24,5,275
"020071703","02","Caba","02007","Comuna 1",2,10,29,1,1,35,110,0,1,19,47,27,90,5,25,4,406
"020071704","02","Caba","02007","Comuna 1",7,7,21,0,0,43,101,0,0,13,41,32,81,8,21,8,383
"020071705","02","Caba","02007","Comuna 1",2,8,43,0,0,37,88,0,5,14,43,30,80,2,40,7,399
"020071706","02","Caba","02007","Comuna 1",8,9,42,0,1,53,177,1,1,24,61,67,103,11,25,5,588
"020071707","02","Caba","02007","Comuna 1",5,9,44,0,1,46,95,0,0,12,59,39,86,1,30,1,428
"020071708","02","Caba","02007","Comuna 1",6,11,37,0,2,51,105,1,0,24,48,55,87,5,23,5,460
"020071709","02","Caba","02007","Comuna 1",2,7,25,0,0,36,78,0,0,19,34,24,52,3,16,3,299
"020071710","02","Caba","02007","Comuna 1",0,9,40,0,0,34,87,0,2,11,43,39,83,4,31,2,385
"020071711","02","Caba","02007","Comuna 1",0,7,17,0,0,38,72,0,1,9,48,27,68,1,16,6,310
"020071801","02","Caba","02007","Comuna 1",13,12,69,0,1,79,174,5,3,19,76,58,138,6,32,6,691
"020071802","02","Caba","02007","Comuna 1",0,13,42,0,1,49,127,0,3,24,70,45,97,4,36,3,514
"020071803","02","Caba","02007","Comuna 1",8,9,38,0,0,45,99,1,1,17,39,33,89,5,27,0,411
"020071804","02","Caba","02007","Comuna 1",18,10,53,2,0,80,186,2,6,41,93,66,151,5,28,8,749
"020071805","02","Caba","02007","Comuna 1",25,9,25,1,0,45,106,0,4,18,47,49,104,4,30,3,470
"020071806","02","Caba","02007","Comuna 1",26,5,47,0,0,37,156,3,2,24,81,69,109,2,33,5,599
"020071807","02","Caba","02007","Comuna 1",5,6,26,0,0,40,139,0,2,23,51,29,78,3,19,2,423
"020071808","02","Caba","02007","Comuna 1",21,7,43,0,1,48,121,0,7,13,38,39,71,1,19,2,431
"020071809","02","Caba","02007","Comuna 1",10,17,42,0,1,63,140,0,3,18,68,61,84,4,27,7,545
"020071901","02","Caba","02007","Comuna 1",3,9,65,1,0,83,172,1,4,22,64,63,137,6,27,8,665
"020071902","02","Caba","02007","Comuna 1",4,9,62,1,0,71,168,0,4,27,83,45,107,6,48,6,641
"020071903","02","Caba","02007","Comuna 1",0,4,18,0,0,30,48,1,0,11,14,40,32,0,10,6,214
"020071904","02","Caba","02007","Comuna 1",0,14,42,1,0,45,106,1,0,22,66,42,95,6,42,9,491
"020071905","02","Caba","02007","Comuna 1",0,8,36,0,1,24,69,0,0,9,34,24,41,6,17,2,271
"020071906","02","Caba","02007","Comuna 1",0,13,22,0,1,40,86,0,0,14,41,36,83,1,31,4,372
"020071907","02","Caba","02007","Comuna 1",1,13,61,0,3,57,146,2,2,22,42,57,66,2,28,1,503
"020071908","02","Caba","02007","Comuna 1",1,8,14,0,0,23,59,0,1,9,21,24,37,1,12,6,216
"020071909","02","Caba","02007","Comuna 1",0,5,26,0,0,43,73,0,1,23,45,36,70,4,18,3,347
"020072001","02","Caba","02007","Comuna 1",0,12,29,0,2,40,83,0,0,12,49,27,71,2,21,4,352
"020072002","02","Caba","02007","Comuna 1",4,11,43,0,0,78,124,0,3,18,65,50,79,5,22,2,504
"020072003","02","Caba","02007","Comuna 1",3,11,46,1,0,51,135,0,2,17,57,34,82,3,22,6,470
"020072004","02","Caba","02007","Comuna 1",0,11,33,0,1,74,124,0,0,17,43,50,84,4,15,3,459
"020072005","02","Caba","02007","Comuna 1",5,19,62,0,0,52,130,1,3,22,63,59,88,3,22,5,534
"020072006","02","Caba","02007","Comuna 1",2,8,43,0,0,45,91,0,2,15,51,29,70,3,20,5,384
"020072007","02","Caba","02007","Comuna 1",0,5,25,0,0,41,98,0,1,20,41,31,61,1,18,2,344
"020072008","02","Caba","02007","Comuna 1",1,9,46,1,0,53,110,0,2,27,45,50,86,7,13,3,453
"020072009","02","Caba","02007","Comuna 1",1,12,47,0,0,62,116,1,1,24,33,38,56,3,14,3,411
