id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,partido_raw,tipo_figura,fuente_match,calle_wikidata_id,calle_wikidata_label
24958,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,67.05098458059705,"LINESTRING (-58.51140289514943 -34.658464191508266, -58.511987576803506 -34.65882735534558)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
25037,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,104.6895043783844,"LINESTRING (-58.512322377073325 -34.65903530743552, -58.512586586598815 -34.65919942720309, -58.51325182922801 -34.659583454410246)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
25067,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,25.19970286155714,"LINESTRING (-58.51325182922801 -34.659583454410246, -58.51347715888717 -34.65971357388037)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
25115,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,80.74619531557099,"LINESTRING (-58.51347715888717 -34.65971357388037, -58.514199275599054 -34.66013038954428)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
25162,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,37.17796970544204,"LINESTRING (-58.51453271247481 -34.66032116642879, -58.51438990881311 -34.66024045126172, -58.514199275599054 -34.66013038954428)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
25189,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,42.09983730238603,"LINESTRING (-58.51453271247481 -34.66032116642879, -58.514911761647404 -34.66053544434939)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
25247,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,66.93541097506419,"LINESTRING (-58.514911761647404 -34.66053544434939, -58.51551444189203 -34.66087610507005)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
25259,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,11.87499229189381,"LINESTRING (-58.515621354431296 -34.66093655251918, -58.51551444189203 -34.66087610507005)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
25327,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,105.8086781771201,"LINESTRING (-58.515621354431296 -34.66093655251918, -58.51657402527246 -34.661475086495145)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
25330,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,13.25310436560763,"LINESTRING (-58.516693387045606 -34.66154249942476, -58.51657402527246 -34.661475086495145)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
