id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,partido_raw,tipo_figura,fuente_match,calle_wikidata_id,calle_wikidata_label
20313,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,,Parque Avellaneda,Velez Sarsfield,,AVENIDA,95.2334879918668,"LINESTRING (-58.486064755074366 -34.64047818318524, -58.48696686717597 -34.64090364901057)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
20440,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,,Parque Avellaneda,Velez Sarsfield,,AVENIDA,88.44161664272549,"LINESTRING (-58.48696686717597 -34.64090364901057, -58.4878046483412 -34.64129876869728)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
20571,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,,Parque Avellaneda,Villa Luro,,AVENIDA,95.70255635610604,"LINESTRING (-58.4878046483412 -34.64129876869728, -58.488043516721305 -34.641411467926645, -58.48871052827637 -34.64172731942432)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
20682,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,,Parque Avellaneda,Villa Luro,,AVENIDA,87.96008539382751,"LINESTRING (-58.48871052827637 -34.64172731942432, -58.48954295759275 -34.64212144230316)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
20702,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,,Parque Avellaneda,Villa Luro,,AVENIDA,8.402393690355124,"LINESTRING (-58.48954295759275 -34.64212144230316, -58.48962246830335 -34.642159101546504)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
20885,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,,Parque Avellaneda,Villa Luro,,AVENIDA,40.24139262907763,"LINESTRING (-58.49020869995891 -34.642437914065404, -58.490588388939074 -34.64261986841488)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
19627,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,,Parque Avellaneda,Velez Sarsfield,,AVENIDA,29.49371787927797,"LINESTRING (-58.481463330355766 -34.63832942883182, -58.48174470199701 -34.63845826102812)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
20990,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,,Parque Avellaneda,Villa Luro,,AVENIDA,80.2551629067207,"LINESTRING (-58.490877777162105 -34.64275854755233, -58.491634977068664 -34.64312147562333)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
21270,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,,Parque Avellaneda,Villa Luro,,AVENIDA,141.3086580432852,"LINESTRING (-58.49233056704808 -34.64345476551674, -58.493663896180244 -34.64409367147531)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
21485,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,,Parque Avellaneda,Villa Luro,,AVENIDA,148.6698290920557,"LINESTRING (-58.493663896180244 -34.64409367147531, -58.494839492714775 -34.64465703968477, -58.494962718070106 -34.64468658545833, -58.49508075460059 -34.64473951293111)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
21524,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,,Parque Avellaneda,Villa Luro,,AVENIDA,22.03079279568828,"LINESTRING (-58.49508075460059 -34.64473951293111, -58.495253143176164 -34.64487785751645)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
21764,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,111.1054544819656,"LINESTRING (-58.495253143176164 -34.64487785751645, -58.496035466104686 -34.64564271835891)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
21974,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,103.1381158755815,"LINESTRING (-58.496035466104686 -34.64564271835891, -58.49678645619976 -34.64633491429271)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
22205,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,104.277433809305,"LINESTRING (-58.49678645619976 -34.64633491429271, -58.497545812753394 -34.647034708862165)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
