id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,tipo_figura
31560,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,San Telmo,San Telmo,San Telmo,1.0,ENLACE AUTOPISTA,757.4244221075179,"LINESTRING (-58.366032519190675 -34.61928225988395, -58.3660583797775 -34.61943536151086, -58.36588737708645 -34.62093135255727, -58.36589277801661 -34.621261437702685, -58.36594760836467 -34.621383467862884, -58.366029932327514 -34.62149954019736, -58.3662480870712 -34.62164561924, -58.366618352657724 -34.621818129330045, -58.366972624598226 -34.621957139207325, -58.36730813098536 -34.62206145088695, -58.367807103507886 -34.62217306538631, -58.3684362423195 -34.62231587370488, -58.36866222536366 -34.62236827215931, -58.36904022943524 -34.62242118640692, -58.36940089725421 -34.6224533564294, -58.36990242139506 -34.622444173892674, -58.370940210709044 -34.622406693824246, -58.37132792247969 -34.622403797573895)",Q193062,Raúl Alfonsín,UCR,presidente
31561,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Puerto Madero,Puerto Madero,Puerto Madero,1.0,ENLACE AUTOPISTA,1258.555704605442,"LINESTRING (-58.3580856796578 -34.62750588821291, -58.35883160456343 -34.6269821751791, -58.35966750873597 -34.62646305129996, -58.36063076022607 -34.62590735327531, -58.36150693005842 -34.62546162156417, -58.36229644720728 -34.625100285667216, -58.36290824012317 -34.624840872166104, -58.36338493798669 -34.624635561143045, -58.363805718895144 -34.62440947294994, -58.36418665140265 -34.624133918554264, -58.36451973587807 -34.623844770179296, -58.36472395495247 -34.62364640859421, -58.3650281540031 -34.62331298550834, -58.36530484537969 -34.62299508682903, -58.36542948191922 -34.62280622763119, -58.36557162100878 -34.622495395958225, -58.36563551564393 -34.6222897446274, -58.36566608200336 -34.62213070843428, -58.36574403786664 -34.62139485064398, -58.3657918536405 -34.62096954648233, -58.36594240153322 -34.61964814727895, -58.36598029575715 -34.61940659655379, -58.366032519190675 -34.61928225988395)",Q193062,Raúl Alfonsín,UCR,presidente
31562,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Puerto Madero,Puerto Madero,Puerto Madero,1.0,ENLACE AUTOPISTA,1135.763083551228,"LINESTRING (-58.35987540977367 -34.62620136651233, -58.360375106760216 -34.62595896206659, -58.360962862431656 -34.62564851113857, -58.36148305421574 -34.62537547389835, -58.361969425728624 -34.62515183869443, -58.363199772391994 -34.62462424718643, -58.36342269767456 -34.62451440304092, -58.36362054039644 -34.62440932176891, -58.363887899585016 -34.62424131044286, -58.364231668307156 -34.62399163773488, -58.36446627755756 -34.62378612559756, -58.36512824588964 -34.62308344473546, -58.365289079508784 -34.62286949997159, -58.36542820793951 -34.62265912540883, -58.365522519661006 -34.62242240397963, -58.36556902769395 -34.62223946169529, -58.36561710970759 -34.62194768966532, -58.36582776306236 -34.619951825840566, -58.36594319753799 -34.61896645903667, -58.36595808812656 -34.61860290348672, -58.36593233970664 -34.618354126261245)",Q193062,Raúl Alfonsín,UCR,presidente
31569,AUTOPISTA ARTURO ILLIA,ARTURO ILLIA,,,,,AUTOPISTA,307.0411990276754,"LINESTRING (-58.39243411913647 -34.575920159415155, -58.39387300323919 -34.57504554774757, -58.39526920308679 -34.5744690865337)",Q270368,Arturo Umberto Illia,UCR,presidente
31570,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Puerto Madero,Puerto Madero,Puerto Madero,1.0,AUTOPISTA,3019.042904926484,"LINESTRING (-58.36593233970664 -34.618354126261245, -58.3659619614529 -34.617763352751304, -58.36612263647474 -34.61643358907757, -58.36625420560526 -34.6152497071851, -58.36637107770792 -34.614261948452985, -58.36648799699472 -34.61323113540546, -58.366563992548414 -34.61256146555161, -58.36656374466189 -34.6117557031764, -58.36660361222011 -34.61082737394254, -58.36670887175424 -34.60986591579338, -58.36680522883046 -34.609095801949046, -58.36690782867471 -34.60792863825308, -58.36694638610176 -34.60710585666637, -58.36709349855832 -34.60496283388441, -58.36720942102602 -34.60404402012314, -58.3675578664675 -34.60110985267366, -58.367665465909404 -34.60061003034763, -58.36824610096644 -34.5987519788367, -58.36935645774776 -34.59554111754356, -58.36990590154172 -34.594038825740455, -58.37034702701204 -34.59270448171825, -58.37041678596951 -34.59239597954573, -58.37045172778639 -34.59218551879846, -58.37048958831403 -34.591951141236585, -58.37052187943611 -34.59152301537147)",Q193062,Raúl Alfonsín,UCR,presidente
31571,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Puerto Madero,Puerto Madero,Puerto Madero,1.0,AUTOPISTA,3113.053642185015,"LINESTRING (-58.366032519190675 -34.61928225988395, -58.366045035167765 -34.618473810714825, -58.3660747063634 -34.61783998318323, -58.36622392970187 -34.61640496701941, -58.36633502039272 -34.615414812018805, -58.36646362236624 -34.61429072465923, -58.36657766139394 -34.61324794977747, -58.36665642728643 -34.61268352537535, -58.36666927694757 -34.61158087258263, -58.366712147727895 -34.61083272352558, -58.36680725835576 -34.60984207470059, -58.366897806614965 -34.60909109134391, -58.3670206412499 -34.60793590301399, -58.367067989148424 -34.60701506060339, -58.36708298017333 -34.60655822033519, -58.36717743486261 -34.60492223779838, -58.36735861395189 -34.603331769012215, -58.367685089054746 -34.60115539849448, -58.36778981984674 -34.600634046730164, -58.368036697704774 -34.59975162921681, -58.3685825366078 -34.59812815031057, -58.36893633413364 -34.597149942037426, -58.369287470857486 -34.59613126374671, -58.369917184604496 -34.594294767761966, -58.37044245743925 -34.59271890577919, -58.37052383047699 -34.592369750056825, -58.370555874400814 -34.59216407087865, -58.3706201317603 -34.59159963088866)",Q193062,Raúl Alfonsín,UCR,presidente
31572,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Retiro,Retiro,Retiro,1.0,AUTOPISTA,718.6082575097751,"LINESTRING (-58.37052187943611 -34.59152301537147, -58.37061224915544 -34.590884446209714, -58.370777844621664 -34.590219623042074, -58.37134357109985 -34.58863900294331, -58.372207475529166 -34.58615107978684, -58.37249688292959 -34.585263694416106)",Q193062,Raúl Alfonsín,UCR,presidente
31573,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Retiro,Retiro,Retiro,1.0,AUTOPISTA,242.0524948261336,"LINESTRING (-58.37249688292959 -34.585263694416106, -58.37262155576453 -34.58497436667338, -58.37288844009619 -34.584221114708136, -58.373242399389326 -34.58317133010385)",Q193062,Raúl Alfonsín,UCR,presidente
31574,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Retiro,Retiro,Retiro,1.0,AUTOPISTA,724.6938589741394,"LINESTRING (-58.3706201317603 -34.59159963088866, -58.37065235569496 -34.59123130246244, -58.37071349389348 -34.59087017165173, -58.37088482795995 -34.59024601503086, -58.37148072959451 -34.588576395639805, -58.37184754458817 -34.58746136571855, -58.372129495147966 -34.5866758398894, -58.3726298850946 -34.585293692104045)",Q193062,Raúl Alfonsín,UCR,presidente
31575,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Retiro,Retiro,Retiro,1.0,AUTOPISTA,240.3456472988954,"LINESTRING (-58.3726298850946 -34.585293692104045, -58.37297517226762 -34.584247489881044, -58.373355142994654 -34.5832120756325)",Q193062,Raúl Alfonsín,UCR,presidente
31576,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,,,,,BAJADA AUTOPISTA,120.6220340435788,"LINESTRING (-58.373132562891996 -34.584282386646166, -58.373343392066324 -34.58338189223957, -58.373355142994654 -34.5832120756325)",Q193062,Raúl Alfonsín,UCR,presidente
31577,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Retiro,Retiro,Retiro,1.0,SUBIDA AUTOPISTA,121.5036829489382,"LINESTRING (-58.3726298850946 -34.585293692104045, -58.37280515539663 -34.58501636127685, -58.373132562891996 -34.584282386646166)",Q193062,Raúl Alfonsín,UCR,presidente
31578,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Retiro,Retiro,Retiro,1.0,BAJADA AUTOPISTA,80.95295167543021,"LINESTRING (-58.37249688292959 -34.585263694416106, -58.37256266595921 -34.58453599616317)",Q193062,Raúl Alfonsín,UCR,presidente
31579,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Retiro,Retiro,Retiro,1.0,SUBIDA AUTOPISTA,61.47435957857155,"LINESTRING (-58.37287638488188 -34.58362172271289, -58.37301644175025 -34.58352516512581, -58.3731729220345 -34.58323586025838, -58.373242399389326 -34.58317133010385)",Q193062,Raúl Alfonsín,UCR,presidente
31589,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Retiro,Retiro,Retiro,1.0,AUTOPISTA,1300.711601494335,"LINESTRING (-58.373355142994654 -34.5832120756325, -58.37377868613499 -34.581987731436314, -58.373964231223944 -34.581557324346264, -58.37414675478093 -34.581246510036436, -58.374424722657245 -34.580923805443675, -58.374662074879524 -34.58072066602179, -58.37489648593675 -34.58056297022004, -58.37515402112268 -34.580414858291086, -58.37537102367339 -34.580309770936054, -58.37559956808485 -34.58022861055129, -58.375914888490705 -34.58012837664432, -58.37626199010721 -34.58005567151339, -58.376533858881274 -34.58002477029966, -58.37696765020621 -34.580015510279814, -58.37784961117588 -34.58007592859854, -58.37899182333608 -34.58015565584316, -58.37931571640608 -34.58015348723634, -58.37973797888997 -34.580105938932185, -58.380209445659865 -34.58001536835419, -58.380605774826535 -34.579872123121355, -58.38107449115395 -34.57963564102037, -58.38166185740682 -34.57931073597106, -58.38226370382933 -34.57895952671117, -58.3824893830699 -34.57884008098278, -58.38280761641283 -34.57870395255613, -58.38310847479152 -34.57859173095421, -58.383461376032336 -34.57848911029044, -58.384196064625435 -34.57831497941518, -58.38445071926862 -34.57825773841274, -58.384716824827805 -34.57819572043621)",Q193062,Raúl Alfonsín,UCR,presidente
31590,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Retiro,Retiro,Retiro,1.0,AUTOPISTA,1333.262227789281,"LINESTRING (-58.373242399389326 -34.58317133010385, -58.37363400930479 -34.58206177430913, -58.37381668900791 -34.581607446285744, -58.37394418482831 -34.58137313291615, -58.3740542696413 -34.58119382051258, -58.37423669000942 -34.58097868221851, -58.37445381225627 -34.58076356890914, -58.37471428895761 -34.58057001383603, -58.37489226839275 -34.580449351615236, -58.375102045433565 -34.58034067164584, -58.37531326661017 -34.58023318830781, -58.37557364165786 -34.5801329156609, -58.375777328039995 -34.58006856513434, -58.37604804867894 -34.580000504910615, -58.37638934474085 -34.57994812647096, -58.376588898918705 -34.579933916965274, -58.37680579683165 -34.57992689514502, -58.37719618486664 -34.57994152261244, -58.37935051276526 -34.580060226818354, -58.3795442805639 -34.58004840040727, -58.37986821861666 -34.58000078413907, -58.38020375593283 -34.57992088416815, -58.38041493744464 -34.57984568270139, -58.380711478356055 -34.5797203086154, -58.38152163655987 -34.57927595945071, -58.38196289308654 -34.5790203202524, -58.382365075869764 -34.578796944289124, -58.3826312447671 -34.578672741322386, -58.382872802406865 -34.57857961635155, -58.383163526245234 -34.57848054342291, -58.383342873107196 -34.578424451220826, -58.38359307386897 -34.5783636212306, -58.38381435381942 -34.578305163803506, -58.38416724391827 -34.57821210871492, -58.38454035560391 -34.578140592821356, -58.38493289056408 -34.57804277727591)",Q193062,Raúl Alfonsín,UCR,presidente
31593,AUTOPISTA ARTURO ILLIA,ARTURO ILLIA,,,,,AUTOPISTA,1078.574062399693,"LINESTRING (-58.384716824827805 -34.57819572043621, -58.38566940739367 -34.577968301503496, -58.38691700650788 -34.57767727589703, -58.38887227969046 -34.57720807530466, -58.39028761104069 -34.5768804414335, -58.3904804108884 -34.57686301595042, -58.39078887026317 -34.57685841577049, -58.39112046236634 -34.576855423098195, -58.3913113300164 -34.57684277897598, -58.39149644012692 -34.57679983366555, -58.39164684887851 -34.57675686770779, -58.3919399913461 -34.576627876400735, -58.39211938917936 -34.57650041271277, -58.392196570538 -34.57642072742229, -58.392433875567605 -34.57620718828543, -58.39276566167122 -34.575971378834026, -58.39362011242395 -34.57546319037627, -58.39492583843845 -34.57473519388569, -58.39512256216955 -34.57462687071499, -58.39526920308679 -34.5744690865337)",Q270368,Arturo Umberto Illia,UCR,presidente
