circuito_geo_id,partido_madre,partido_electoral,metros_lineales,pct_metros,metros_por_km2,area_km2,pct_votos_promedio,pct_votos_jefe_gobierno,pct_votos_legislativa,pct_votos_presidencial,tasa_nbi_circuito,indice_edu_circuito
144,UCR,Centroderecha,620.8325146313726,100.0,842.6,0.7368,58.32,71.65,56.58,53.38,2.74,7.28
149,Liberalismo,Liberalismo,131.3267086311338,4.5,24.6,5.3341,25.06,12.94,45.26,10.92,2.45,7.27
149,UCR,Centroderecha,2786.719825732986,95.5,522.4,5.3341,59.38,72.84,58.27,53.76,2.45,7.27
150,Liberalismo,Liberalismo,73.1856823639242,2.33,27.2,2.6892,27.24,13.93,51.04,10.09,1.34,7.53
150,UCR,Centroderecha,3065.339141374823,97.67,1139.9,2.6892,65.88,80.46,62.78,61.68,1.34,7.53
151,UCR,Centroderecha,827.3197617902192,100.0,517.7,1.5981,60.6,74.17,58.88,55.55,1.52,7.41
152,UCR,Centroderecha,253.16178671612727,100.0,444.1,0.5701,58.58,71.69,56.92,53.7,1.03,7.46
153,UCR,Centroderecha,398.8167175447636,100.0,740.7,0.5384,51.57,62.38,51.67,46.06,2.0,7.31
154,PS,PS,81.17729434770362,20.13,106.2,0.7645,11.27,,1.8,20.74,2.04,7.14
154,UCR,Centroderecha,322.094055158134,79.87,421.3,0.7645,48.65,58.58,49.31,43.03,2.04,7.14
155,PS,PS,1013.2812735161502,38.63,714.8,1.4176,9.84,,1.72,17.94,3.25,7.04
155,UCR,Centroderecha,1610.0121300754245,61.37,1135.7,1.4176,46.47,56.03,47.58,40.59,3.25,7.04
156,PS,PS,528.687725634042,63.23,525.5,1.0061,10.08,,2.0,18.16,3.47,6.87
156,UCR,Centroderecha,307.4555907425173,36.77,305.6,1.0061,42.28,50.46,43.76,36.7,3.47,6.87
157,PS,PS,315.61370087313014,33.85,369.3,0.8546,10.58,,2.29,18.88,3.63,7.04
157,UCR,Centroderecha,616.6992633108048,66.15,721.6,0.8546,42.92,51.55,44.21,37.32,3.63,7.04
158,UCR,Centroderecha,1009.8514950440627,100.0,1358.6,0.7433,42.04,49.94,43.36,36.76,2.77,6.59
159,PS,PS,885.8432276829818,100.0,1281.4,0.6913,9.72,,2.19,17.26,1.9,6.43
16,UCR,Centroderecha,514.3401966492831,100.0,1724.8,0.2982,37.78,43.78,40.18,32.38,10.54,6.03
160,PS,PS,786.1841870143483,47.77,759.6,1.035,11.43,,2.46,20.4,2.21,6.43
160,UCR,Centroderecha,859.4609005998572,52.23,830.4,1.035,42.15,50.08,43.72,36.61,2.21,6.43
161,PS,PS,1797.776804834853,90.95,1569.4,1.1455,10.87,,2.46,19.28,3.15,6.29
161,UCR,Centroderecha,178.90496703569343,9.05,156.2,1.1455,40.17,47.74,42.07,34.48,3.15,6.29
163,UCR,Centroderecha,222.4285551900542,100.0,190.6,1.1671,35.56,41.07,38.46,29.91,4.08,6.09
167,UCR,Centroderecha,2530.9044761268997,100.0,1191.7,2.1238,44.12,53.4,45.67,37.93,2.17,6.37
18,UCR,Centroderecha,2128.1292961056442,100.0,3873.6,0.5494,35.17,39.99,38.46,29.47,26.28,5.05
19,UCR,Centroderecha,148.6356481800003,100.0,204.7,0.7262,34.42,38.82,38.12,28.52,26.65,4.88
20,UCR,Centroderecha,8608.061888578433,100.0,3511.9,2.4511,57.97,71.7,55.89,53.19,1.84,7.02
26,UCR,Centroderecha,562.7450287854556,100.0,1144.0,0.4919,63.2,77.13,60.85,58.58,1.76,7.37
27,UCR,Centroderecha,911.694136204685,100.0,2107.0,0.4327,54.66,65.22,54.4,49.64,1.83,7.22
29,PS,PS,131.034455863139,100.0,430.9,0.3041,11.09,,1.73,20.45,2.96,7.13
3,PS,PS,2005.762428165017,61.45,471.9,4.2504,10.05,,0.9,19.2,1.53,7.34
3,UCR,Centroderecha,1258.555704605442,38.55,296.1,4.2504,61.06,74.11,60.57,55.02,1.53,7.34
32,PJ,PJ,401.7956546548684,100.0,926.2,0.4338,32.65,35.73,20.0,43.75,8.42,6.46
33,PJ,PJ,724.4756477851801,100.0,1375.2,0.5268,34.54,38.03,21.4,45.93,9.04,5.72
34,PJ,PJ,887.7406499279684,100.0,1785.5,0.4972,34.06,37.46,21.26,45.18,8.38,5.79
35,UCR,Centroderecha,726.484377403138,100.0,1467.1,0.4952,38.43,43.9,41.92,32.21,11.13,5.69
37,UCR,Centroderecha,500.8660198996196,100.0,1380.2,0.3629,38.73,45.0,41.56,32.77,8.05,5.73
38,UCR,Centroderecha,384.1453746272192,100.0,896.3,0.4286,39.71,46.06,42.2,34.06,13.07,5.86
