wikidata_id,nombre,alias,partido_raw,inicio_mandato,fin_mandato,sitelinks,tipo,partido_madre,sitelinks_max
Q356699,Edelmiro Julián Farrell,Edelmiro J. Farrell,político independiente,1944,1946,29,presidente,Dictadura,29
Q356699,Edelmiro Julián Farrell,Edelmiro J Farrell,político independiente,1944,1946,29,presidente,Dictadura,29
Q356699,Edelmiro Julián Farrell,Edelmiro Farrell,político independiente,1944,1946,29,presidente,Dictadura,29
Q356699,Edelmiro Julián Farrell,Edelmiro Farrel,político independiente,1944,1946,29,presidente,Dictadura,29
Q93330,Juan Domingo Perón,Juan Perón,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,Juan Peron,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,Juan D. Perón,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,Gral. Peron,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,General Perón,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,el robas,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,El Pocho,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,Coronel Perón,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,El General,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,Peron,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,Perón,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q188974,Pedro Eugenio Aramburu,Pedro Eugenio Aramburu Cilveti,Unión del Pueblo Argentino,1955,1958,33,presidente,Sin clasificar,33
Q346658,Arturo Frondizi,Frondizi,Unión Cívica Radical Intransigente,1958,1962,42,presidente,UCR,42
Q470971,José María Guido,José Maria Guido,Unión Cívica Radical Intransigente,1962,1963,28,presidente,UCR,28
Q470971,José María Guido,Jose María Guido,Unión Cívica Radical Intransigente,1962,1963,28,presidente,UCR,28
Q470971,José María Guido,Jose Maria Guido,Unión Cívica Radical Intransigente,1962,1963,28,presidente,UCR,28
Q270368,Arturo Umberto Illia,Arturo Illia,Unión Cívica Radical del Pueblo,1963,1966,41,presidente,UCR,41
Q365326,Juan Carlos Onganía,Onganía,político independiente,1966,1970,33,presidente,Dictadura,33
Q365326,Juan Carlos Onganía,Ongania,político independiente,1966,1970,33,presidente,Dictadura,33
Q365326,Juan Carlos Onganía,Juan Carlos Ongania,político independiente,1966,1970,33,presidente,Dictadura,33
Q365326,Juan Carlos Onganía,General Onganía,político independiente,1966,1970,33,presidente,Dictadura,33
Q365326,Juan Carlos Onganía,General Ongania,político independiente,1966,1970,33,presidente,Dictadura,33
Q365326,Juan Carlos Onganía,Dictadura de Onganía,político independiente,1966,1970,33,presidente,Dictadura,33
Q365326,Juan Carlos Onganía,Dictadura de Ongania,político independiente,1966,1970,33,presidente,Dictadura,33
Q365326,Juan Carlos Onganía,Carlos Ongania,político independiente,1966,1970,33,presidente,Dictadura,33
Q380980,Roberto Marcelo Levingston,Roberto M. Levingston,político independiente,1970,1971,29,presidente,Dictadura,29
Q380980,Roberto Marcelo Levingston,Roberto M Levingston,político independiente,1970,1971,29,presidente,Dictadura,29
Q380980,Roberto Marcelo Levingston,Roberto Levingston,político independiente,1970,1971,29,presidente,Dictadura,29
Q380980,Roberto Marcelo Levingston,Marcelo Levingston,político independiente,1970,1971,29,presidente,Dictadura,29
Q345487,Alejandro Agustín Lanusse,Alejandro Agustin Lanusse,político independiente,1971,1973,33,presidente,Dictadura,33
Q345487,Alejandro Agustín Lanusse,Alejandro A. Lanusse,político independiente,1971,1973,33,presidente,Dictadura,33
Q345487,Alejandro Agustín Lanusse,Alejandro A Lanusse,político independiente,1971,1973,33,presidente,Dictadura,33
Q345487,Alejandro Agustín Lanusse,Agustín Lanusse,político independiente,1971,1973,33,presidente,Dictadura,33
Q356751,Héctor José Cámpora,Héctor J. Cámpora,Partido Justicialista,1973,1973,33,presidente,PJ,33
Q356751,Héctor José Cámpora,Hector J. Campora,Partido Justicialista,1973,1973,33,presidente,PJ,33
Q356751,Héctor José Cámpora,Hector J Campora,Partido Justicialista,1973,1973,33,presidente,PJ,33
Q356751,Héctor José Cámpora,Héctor Cámpora,Partido Justicialista,1973,1973,33,presidente,PJ,33
Q356751,Héctor José Cámpora,Cámpora,Partido Justicialista,1973,1973,33,presidente,PJ,33
Q349261,Raúl Alberto Lastiri,Raúl A Lastiri,Partido Justicialista,1973,1973,28,presidente,PJ,28
Q349261,Raúl Alberto Lastiri,Raul A Lastiri,Partido Justicialista,1973,1973,28,presidente,PJ,28
Q349261,Raúl Alberto Lastiri,Raúl Lastiri,Partido Justicialista,1973,1973,28,presidente,PJ,28
Q349261,Raúl Alberto Lastiri,Raul Lastiri,Partido Justicialista,1973,1973,28,presidente,PJ,28
Q349261,Raúl Alberto Lastiri,Raul Alberto Lastiri,Partido Justicialista,1973,1973,28,presidente,PJ,28
Q349261,Raúl Alberto Lastiri,Raúl A. Lastiri,Partido Justicialista,1973,1973,28,presidente,PJ,28
Q349261,Raúl Alberto Lastiri,Raul A. Lastiri,Partido Justicialista,1973,1973,28,presidente,PJ,28
Q75853,Jorge Rafael Videla,"Videla, Jorge Rafael",partido militar,1976,1981,76,presidente,Dictadura,76
Q75853,Jorge Rafael Videla,Jorge Videla,partido militar,1976,1981,76,presidente,Dictadura,76
Q75853,Jorge Rafael Videla,Jorge Rafaél Videla,partido militar,1976,1981,76,presidente,Dictadura,76
Q75853,Jorge Rafael Videla,Jorge R. Videla,partido militar,1976,1981,76,presidente,Dictadura,76
Q75853,Jorge Rafael Videla,Videla,partido militar,1976,1981,76,presidente,Dictadura,76
Q313996,Roberto Eduardo Viola,Roberto Viola,político independiente,1981,1981,39,presidente,Dictadura,39
Q365345,Carlos Alberto Lacoste,Carlos Lacoste,político independiente,1981,1981,27,presidente,Dictadura,27
Q365345,Carlos Alberto Lacoste,Carlos Alberto Lacoste Guillot,político independiente,1981,1981,27,presidente,Dictadura,27
Q124993,Leopoldo Fortunato Galtieri,Leopoldo Fortunato Galtieri Castelli,político independiente,1981,1982,54,presidente,Dictadura,54
Q381403,Alfredo Saint-Jean,Alfredo Óscar Saint-Jean,político independiente,1982,1982,25,presidente,Dictadura,25
Q381403,Alfredo Saint-Jean,Alfredo Oscar Saint-Jean,político independiente,1982,1982,25,presidente,Dictadura,25
Q381403,Alfredo Saint-Jean,Alfredo Oscar Saint Jean,político independiente,1982,1982,25,presidente,Dictadura,25
Q298430,Reynaldo Bignone,Reynaldo Benito Bignone,político independiente,1982,1983,47,presidente,Dictadura,47
Q298430,Reynaldo Bignone,Reynaldo Benito Antonio Bignone,político independiente,1982,1983,47,presidente,Dictadura,47
Q298430,Reynaldo Bignone,Bignone,político independiente,1982,1983,47,presidente,Dictadura,47
Q193062,Raúl Alfonsín,Raúl Ricardo Alfonsín,Unión Cívica Radical,1983,1989,65,presidente,UCR,65
Q193062,Raúl Alfonsín,Raúl Ricardo Alfonsin,Unión Cívica Radical,1983,1989,65,presidente,UCR,65
Q193062,Raúl Alfonsín,Raul Ricardo Alfonsín,Unión Cívica Radical,1983,1989,65,presidente,UCR,65
Q193062,Raúl Alfonsín,Raul Ricardo Alfonsin,Unión Cívica Radical,1983,1989,65,presidente,UCR,65
Q193062,Raúl Alfonsín,Raúl R. Alfonsín,Unión Cívica Radical,1983,1989,65,presidente,UCR,65
Q193062,Raúl Alfonsín,Raul R. Alfonsin,Unión Cívica Radical,1983,1989,65,presidente,UCR,65
Q193062,Raúl Alfonsín,Raul Alfonsin Foulknes,Unión Cívica Radical,1983,1989,65,presidente,UCR,65
Q193062,Raúl Alfonsín,Raúl Alfonsin,Unión Cívica Radical,1983,1989,65,presidente,UCR,65
Q193062,Raúl Alfonsín,Raul Alfonsín,Unión Cívica Radical,1983,1989,65,presidente,UCR,65
Q193062,Raúl Alfonsín,Raul Alfonsin,Unión Cívica Radical,1983,1989,65,presidente,UCR,65
Q193062,Raúl Alfonsín,Alfonsin,Unión Cívica Radical,1983,1989,65,presidente,UCR,65
Q185107,Carlos Menem,Presidente Menem,Partido Justicialista,1989,1999,73,presidente,PJ,73
Q185107,Carlos Menem,Carlos Saúl Menem,Partido Justicialista,1989,1999,73,presidente,PJ,73
Q185107,Carlos Menem,Carlos Saul Menem,Partido Justicialista,1989,1999,73,presidente,PJ,73
Q185107,Carlos Menem,Carlos S. Menem,Partido Justicialista,1989,1999,73,presidente,PJ,73
Q185107,Carlos Menem,Menem,Partido Justicialista,1989,1999,73,presidente,PJ,73
Q295007,Fernando de la Rúa,Fernando de la Rúa Bruno,Unión Cívica Radical,1999,2001,52,presidente,UCR,52
Q295007,Fernando de la Rúa,Fernando de la Rua Bruno,Unión Cívica Radical,1999,2001,52,presidente,UCR,52
Q295007,Fernando de la Rúa,Fernando De la Rua,Unión Cívica Radical,1999,2001,52,presidente,UCR,52
Q295007,Fernando de la Rúa,De la Rúa,Unión Cívica Radical,1999,2001,52,presidente,UCR,52
Q295007,Fernando de la Rúa,De la Rua,Unión Cívica Radical,1999,2001,52,presidente,UCR,52
Q295007,Fernando de la Rúa,Chupete,Unión Cívica Radical,1999,2001,52,presidente,UCR,52
Q357257,Ramón Puerta,Ramon Puerta,Partido Justicialista,2001,2001,26,presidente,PJ,26
Q357257,Ramón Puerta,Federico Ramón Puerta,Partido Justicialista,2001,2001,26,presidente,PJ,26
Q357257,Ramón Puerta,Federico Ramon Puerta,Partido Justicialista,2001,2001,26,presidente,PJ,26
Q312358,Adolfo Rodríguez Saá,,Partido Justicialista,2001,2001,42,presidente,PJ,42
Q336226,Eduardo Camaño,Eduardo Camano,Partido Justicialista,2001,2002,27,presidente,PJ,27
Q294578,Eduardo Duhalde,Eduardo Alberto Duhalde,Partido Justicialista,2002,2003,51,presidente,PJ,51
Q170899,Néstor Kirchner,Néstor Carlos Kirchner Ostoić,Frente para la Victoria,2003,2007,83,presidente,PJ,83
Q170899,Néstor Kirchner,Nestor Carlos,Frente para la Victoria,2003,2007,83,presidente,PJ,83
Q170899,Néstor Kirchner,Néstor C. Kirchner,Frente para la Victoria,2003,2007,83,presidente,PJ,83
Q40649,Cristina Fernández de Kirchner,Cristina Elisabet Fernández de Kirchner,Frente para la Victoria,2007,2015,119,presidente,PJ,119
Q40649,Cristina Fernández de Kirchner,Cristina Elisabet Fernández,Frente para la Victoria,2007,2015,119,presidente,PJ,119
Q40649,Cristina Fernández de Kirchner,CFK,Frente para la Victoria,2007,2015,119,presidente,PJ,119
Q40649,Cristina Fernández de Kirchner,Cristina Fernández,Frente para la Victoria,2007,2015,119,presidente,PJ,119
Q40649,Cristina Fernández de Kirchner,Cristina Fernandez,Frente para la Victoria,2007,2015,119,presidente,PJ,119
Q561837,Mauricio Macri,,Compromiso para el Cambio,2015,2019,81,presidente,Sin clasificar,81
Q2642828,Alberto Fernández,Alberto Angel Fernandez,Frente Renovador,2019,2023,78,presidente,PJ,78
Q52395487,Javier Milei,Javier Gerardo Milei,Partido Libertario,2023,,88,presidente,Liberalismo,88
Q52395487,Javier Milei,Javo,Partido Libertario,2023,,88,presidente,Liberalismo,88
Q52395487,Javier Milei,El Loco,Partido Libertario,2023,,88,presidente,Liberalismo,88
Q52395487,Javier Milei,El Psiquiátrico,Partido Libertario,2023,,88,presidente,Liberalismo,88
Q52395487,Javier Milei,El Javo,Partido Libertario,2023,,88,presidente,Liberalismo,88
Q2843714,Horacio Rodríguez Larreta,Horacio Antonio Rodríguez Larreta,Propuesta Republicana,,,13,politico,PRO,13
Q503645,Leopoldo Alfredo Bravo,,Partido Bloquista,,,7,politico,Sin clasificar,7
Q5898535,Hipólito Marcial Rojas,Hipolito Marcial Rojas,Unión Cívica Radical,,,1,politico,UCR,1
Q20965884,Rodolfo José Ramón Moisés Tecera del Franco,Chicho,Partido Justicialista,,,1,politico,PJ,1
Q117846407,Alejandro D. Ortiz,,Partido Autonomista Nacional,,,1,politico,Liberalismo,1
Q20965884,Rodolfo José Ramón Moisés Tecera del Franco,Rodolfo Jose Ramon Moises Tecera del Franco,Partido Justicialista,,,1,politico,PJ,1
Q5983905,Luis María Macaya,Luis Maria Macaya,Partido Justicialista,,,1,politico,PJ,1
Q5878321,Gerardo Martínez,Gerardo Martinez,Partido Justicialista,,,2,politico,PJ,2
Q5726031,Benjamín Aráoz,Francisco Eleodoro del Carmen Aráoz,Partido Autonomista Nacional,,,2,politico,Liberalismo,2
Q20679882,Alberto Vignes,Alberto Juan Vicente Vignes,Partido Justicialista,,,2,politico,PJ,2
Q20679882,Alberto Vignes,Alberto Juan Vignes,Partido Justicialista,,,2,politico,PJ,2
Q5898550,Hipólito Solari Yrigoyen,Hipolito Solari Yrigoyen,Unión Cívica Radical,,,3,politico,UCR,3
Q193672,Carlos Saavedra Lamas,Saavedra Lamas,Partido Autonomista Nacional,,,53,politico,Liberalismo,53
Q5704417,Armando Antille,Armando G. Antille,Partido Justicialista,,,2,politico,PJ,2
Q5704417,Armando Antille,Armando Gerardo Antille,Partido Justicialista,,,2,politico,PJ,2
Q6053892,Oscar Ivanissevich,,Partido Justicialista,,,5,politico,PJ,5
Q5950032,Juan Ignacio San Martín,Juan Ignacio San Martin,Partido Justicialista,,,2,politico,PJ,2
Q18762446,Gabriel Feris,,Partido Autonomista de Corrientes,,,1,politico,Sin clasificar,1
Q6959980,Ramón Mestre,Ramon Mestre,Unión Cívica Radical,,,6,politico,UCR,6
Q648570,Milan Stojadinović,Milan Stojadinovic,Unión Radical Yugoslava,,,28,politico,Sin clasificar,28
Q648570,Milan Stojadinović,Milan Stoyadinovich,Unión Radical Yugoslava,,,28,politico,Sin clasificar,28
Q111478757,Gerardo Cipolini,,Unión Cívica Radical,,,2,politico,UCR,2
Q1524240,Gildo PENEEE,Gildo Insfran,Frente para la Victoria,,,5,politico,PJ,5
Q591796,Ángel Rozas,Angel Rozas,Unión Cívica Radical,,,4,politico,UCR,4
Q5833998,Enrique del Valle Iberlucea,,Partido Socialista,,,3,politico,PS,3
Q5944936,José Ramón Granero,Jose Ramon Granero,Partido Justicialista,,,1,politico,PJ,1
Q5983142,Luis Cruz,,Partido Justicialista,,,3,politico,PJ,3
Q5638493,Atilio Antinucci,,Partido Justicialista,,,2,politico,PJ,2
Q55453413,Mónica Silvana González,Mónica González,Partido Socialista Obrero Español,,,10,politico,PS,10
Q40975069,Francisco Sarmiento,,Unión Cívica Radical,,,1,politico,UCR,1
Q5663357,Alberto Natale,Alberto Adolfo Natale,Partido Demócrata Progresista,,,3,politico,Liberalismo,3
Q963284,Jorge Telerman,Telerman,Partido Justicialista,,,10,politico,PJ,10
Q19517805,Laura Vilches,,Partido de los Trabajadores Socialistas,,,2,politico,PS,2
Q18759666,Hebe Corchuelo Blasco,,Partido Justicialista,,,1,politico,PJ,1
Q41658560,Nancy Susana González,Nancy González,Partido Justicialista,,,3,politico,PJ,3
Q18759723,José Luis Imhoff,,Partido Justicialista,,,2,politico,PJ,2
Q959875,Héctor Eduardo Tizón,Hector Tizon,Unión Cívica Radical,,,8,politico,UCR,8
Q959875,Héctor Eduardo Tizón,Hector Tizón,Unión Cívica Radical,,,8,politico,UCR,8
Q959875,Héctor Eduardo Tizón,Héctor Tizon,Unión Cívica Radical,,,8,politico,UCR,8
Q108497379,José María Díaz Bancalari,,Partido Justicialista,,,1,politico,PJ,1
Q20735856,Sergio Uñac,Sergio Mauricio Uñac,Partido Justicialista,,,4,politico,PJ,4
Q5707646,Arístides Emilio Bibolini,Aristides Emilio Bibolini,Unión Cívica Radical,,,1,politico,UCR,1
Q9024801,Lucía Alberti,Lucia Alberti,Unión Cívica Radical,,,6,politico,UCR,6
Q47495265,Carlos Alderete,Carlos Elvio Alderete,Partido Justicialista,,,2,politico,PJ,2
Q47495265,Carlos Alderete,Carlos Silvestre Alderete,Partido Justicialista,,,2,politico,PJ,2
Q17634337,Hugo Dardo Domínguez,Hugo Dardo Dominguez,Unión Cívica Radical,,,1,politico,UCR,1
Q63910448,Rufino Vicente Férnandez,,Encuentro por Corrientes - Eco + Cambiemos,,,0,politico,Sin clasificar,0
Q4713883,Aldo Ferrer,,Unión Cívica Radical,,,7,politico,UCR,7
Q173238,Carlos Alberto Reutemann,Lole,Partido Justicialista,,,38,politico,PJ,38
