"radios","cod_prov","Provincia","cod_depto","Departamento","HNBI_TOT_Sí","HNBI_TOT_No","Total"
"020070101","02","Caba","02007","Comuna 1",19,87,106
"020070201","02","Caba","02007","Comuna 1",25,206,231
"020070202","02","Caba","02007","Comuna 1",40,130,170
"020070203","02","Caba","02007","Comuna 1",28,74,102
"020070204","02","Caba","02007","Comuna 1",24,187,211
"020070205","02","Caba","02007","Comuna 1",37,192,229
"020070207","02","Caba","02007","Comuna 1",77,242,319
"020070208","02","Caba","02007","Comuna 1",45,204,249
"020070209","02","Caba","02007","Comuna 1",35,153,188
"020070210","02","Caba","02007","Comuna 1",22,105,127
"020070211","02","Caba","02007","Comuna 1",42,207,249
"020070212","02","Caba","02007","Comuna 1",82,341,423
"020070213","02","Caba","02007","Comuna 1",30,141,171
"020070214","02","Caba","02007","Comuna 1",65,179,244
"020070215","02","Caba","02007","Comuna 1",75,204,279
"020070216","02","Caba","02007","Comuna 1",32,122,154
"020070217","02","Caba","02007","Comuna 1",60,199,259
"020070218","02","Caba","02007","Comuna 1",31,170,201
"020070219","02","Caba","02007","Comuna 1",31,91,122
"020070220","02","Caba","02007","Comuna 1",66,73,139
"020070221","02","Caba","02007","Comuna 1",18,349,367
"020070222","02","Caba","02007","Comuna 1",23,298,321
"020070223","02","Caba","02007","Comuna 1",41,255,296
"020070301","02","Caba","02007","Comuna 1",13,117,130
"020070302","02","Caba","02007","Comuna 1",106,441,547
"020070303","02","Caba","02007","Comuna 1",34,115,149
"020070304","02","Caba","02007","Comuna 1",23,152,175
"020070305","02","Caba","02007","Comuna 1",52,294,346
"020070306","02","Caba","02007","Comuna 1",18,128,146
"020070307","02","Caba","02007","Comuna 1",104,212,316
"020070308","02","Caba","02007","Comuna 1",75,246,321
"020070309","02","Caba","02007","Comuna 1",66,148,214
"020070310","02","Caba","02007","Comuna 1",89,398,487
"020070311","02","Caba","02007","Comuna 1",27,203,230
"020070312","02","Caba","02007","Comuna 1",51,186,237
"020070313","02","Caba","02007","Comuna 1",45,141,186
"020070314","02","Caba","02007","Comuna 1",44,161,205
"020070315","02","Caba","02007","Comuna 1",63,204,267
"020070316","02","Caba","02007","Comuna 1",29,114,143
"020070317","02","Caba","02007","Comuna 1",26,155,181
"020070318","02","Caba","02007","Comuna 1",8,103,111
"020070319","02","Caba","02007","Comuna 1",23,100,123
"020070401","02","Caba","02007","Comuna 1",5,488,493
"020070402","02","Caba","02007","Comuna 1",25,526,551
"020070403","02","Caba","02007","Comuna 1",4,264,268
"020070404","02","Caba","02007","Comuna 1",7,295,302
"020070405","02","Caba","02007","Comuna 1",3,164,167
"020070406","02","Caba","02007","Comuna 1",14,308,322
"020070407","02","Caba","02007","Comuna 1",3,312,315
"020070408","02","Caba","02007","Comuna 1",17,308,325
"020070501","02","Caba","02007","Comuna 1",9,325,334
"020070502","02","Caba","02007","Comuna 1",4,253,257
"020070503","02","Caba","02007","Comuna 1",12,511,523
"020070504","02","Caba","02007","Comuna 1",5,460,465
"020070505","02","Caba","02007","Comuna 1",2,218,220
"020070506","02","Caba","02007","Comuna 1",6,474,480
"020070507","02","Caba","02007","Comuna 1",3,335,338
"020070601","02","Caba","02007","Comuna 1",4,390,394
"020070602","02","Caba","02007","Comuna 1",2,312,314
"020070603","02","Caba","02007","Comuna 1",1,496,497
"020070604","02","Caba","02007","Comuna 1",6,459,465
"020070605","02","Caba","02007","Comuna 1",4,219,223
"020070606","02","Caba","02007","Comuna 1",2,268,270
"020070607","02","Caba","02007","Comuna 1",5,227,232
"020070608","02","Caba","02007","Comuna 1",1,292,293
"020070609","02","Caba","02007","Comuna 1",11,515,526
"020070610","02","Caba","02007","Comuna 1",4,280,284
"020070701","02","Caba","02007","Comuna 1",3,390,393
"020070702","02","Caba","02007","Comuna 1",3,151,154
"020070703","02","Caba","02007","Comuna 1",7,136,143
"020070704","02","Caba","02007","Comuna 1",5,205,210
"020070705","02","Caba","02007","Comuna 1",0,260,260
"020070706","02","Caba","02007","Comuna 1",10,173,183
"020070707","02","Caba","02007","Comuna 1",7,406,413
"020070708","02","Caba","02007","Comuna 1",5,332,337
"020070709","02","Caba","02007","Comuna 1",2,285,287
"020070710","02","Caba","02007","Comuna 1",8,364,372
"020070711","02","Caba","02007","Comuna 1",4,184,188
"020070712","02","Caba","02007","Comuna 1",11,251,262
"020070713","02","Caba","02007","Comuna 1",4,145,149
"020070801","02","Caba","02007","Comuna 1",8,266,274
"020070802","02","Caba","02007","Comuna 1",6,612,618
"020070803","02","Caba","02007","Comuna 1",5,401,406
"020070804","02","Caba","02007","Comuna 1",2,294,296
"020070805","02","Caba","02007","Comuna 1",4,265,269
"020070806","02","Caba","02007","Comuna 1",10,596,606
"020070807","02","Caba","02007","Comuna 1",5,613,618
"020070808","02","Caba","02007","Comuna 1",11,281,292
"020070809","02","Caba","02007","Comuna 1",4,244,248
"020070810","02","Caba","02007","Comuna 1",3,184,187
"020070811","02","Caba","02007","Comuna 1",2,140,142
"020070901","02","Caba","02007","Comuna 1",10,249,259
"020070902","02","Caba","02007","Comuna 1",59,286,345
"020070903","02","Caba","02007","Comuna 1",19,215,234
"020070904","02","Caba","02007","Comuna 1",20,234,254
"020070905","02","Caba","02007","Comuna 1",28,232,260
"020070906","02","Caba","02007","Comuna 1",20,334,354
"020070907","02","Caba","02007","Comuna 1",36,431,467
"020070908","02","Caba","02007","Comuna 1",13,296,309
"020070909","02","Caba","02007","Comuna 1",17,466,483
"020070910","02","Caba","02007","Comuna 1",4,274,278
"020070911","02","Caba","02007","Comuna 1",8,199,207
"020070912","02","Caba","02007","Comuna 1",8,140,148
"020070913","02","Caba","02007","Comuna 1",11,266,277
"020070914","02","Caba","02007","Comuna 1",50,221,271
"020070915","02","Caba","02007","Comuna 1",9,188,197
"020070916","02","Caba","02007","Comuna 1",22,233,255
"020070917","02","Caba","02007","Comuna 1",4,149,153
"020070918","02","Caba","02007","Comuna 1",13,228,241
"020070919","02","Caba","02007","Comuna 1",5,136,141
"020070920","02","Caba","02007","Comuna 1",73,243,316
"020070921","02","Caba","02007","Comuna 1",30,157,187
"020071001","02","Caba","02007","Comuna 1",6,187,193
"020071002","02","Caba","02007","Comuna 1",17,336,353
"020071003","02","Caba","02007","Comuna 1",17,441,458
"020071004","02","Caba","02007","Comuna 1",12,289,301
"020071005","02","Caba","02007","Comuna 1",9,277,286
"020071006","02","Caba","02007","Comuna 1",55,392,447
"020071007","02","Caba","02007","Comuna 1",22,194,216
"020071008","02","Caba","02007","Comuna 1",17,259,276
"020071009","02","Caba","02007","Comuna 1",14,288,302
"020071010","02","Caba","02007","Comuna 1",23,412,435
"020071011","02","Caba","02007","Comuna 1",25,435,460
"020071012","02","Caba","02007","Comuna 1",10,367,377
"020071013","02","Caba","02007","Comuna 1",21,321,342
"020071014","02","Caba","02007","Comuna 1",11,184,195
"020071015","02","Caba","02007","Comuna 1",2,161,163
"020071016","02","Caba","02007","Comuna 1",2,186,188
"020071101","02","Caba","02007","Comuna 1",39,264,303
"020071102","02","Caba","02007","Comuna 1",52,381,433
"020071103","02","Caba","02007","Comuna 1",101,145,246
"020071104","02","Caba","02007","Comuna 1",22,390,412
"020071105","02","Caba","02007","Comuna 1",29,263,292
"020071106","02","Caba","02007","Comuna 1",8,269,277
"020071107","02","Caba","02007","Comuna 1",37,317,354
"020071108","02","Caba","02007","Comuna 1",9,381,390
"020071109","02","Caba","02007","Comuna 1",13,242,255
"020071110","02","Caba","02007","Comuna 1",24,260,284
"020071111","02","Caba","02007","Comuna 1",3,180,183
"020071112","02","Caba","02007","Comuna 1",12,256,268
"020071113","02","Caba","02007","Comuna 1",11,277,288
"020071114","02","Caba","02007","Comuna 1",9,332,341
"020071115","02","Caba","02007","Comuna 1",64,275,339
"020071201","02","Caba","02007","Comuna 1",17,168,185
"020071202","02","Caba","02007","Comuna 1",14,229,243
"020071203","02","Caba","02007","Comuna 1",10,146,156
"020071204","02","Caba","02007","Comuna 1",56,184,240
"020071205","02","Caba","02007","Comuna 1",8,254,262
"020071206","02","Caba","02007","Comuna 1",25,277,302
"020071207","02","Caba","02007","Comuna 1",100,424,524
"020071208","02","Caba","02007","Comuna 1",11,181,192
"020071209","02","Caba","02007","Comuna 1",17,291,308
"020071210","02","Caba","02007","Comuna 1",13,209,222
"020071211","02","Caba","02007","Comuna 1",17,244,261
"020071212","02","Caba","02007","Comuna 1",22,233,255
"020071213","02","Caba","02007","Comuna 1",92,142,234
"020071214","02","Caba","02007","Comuna 1",22,244,266
"020071301","02","Caba","02007","Comuna 1",2,257,259
"020071302","02","Caba","02007","Comuna 1",5,108,113
"020071303","02","Caba","02007","Comuna 1",2,198,200
"020071304","02","Caba","02007","Comuna 1",17,271,288
"020071305","02","Caba","02007","Comuna 1",3,278,281
"020071306","02","Caba","02007","Comuna 1",7,194,201
"020071307","02","Caba","02007","Comuna 1",4,503,507
"020071308","02","Caba","02007","Comuna 1",10,243,253
"020071309","02","Caba","02007","Comuna 1",0,254,254
"020071310","02","Caba","02007","Comuna 1",14,494,508
"020071311","02","Caba","02007","Comuna 1",2,227,229
"020071312","02","Caba","02007","Comuna 1",3,298,301
"020071313","02","Caba","02007","Comuna 1",1,151,152
"020071314","02","Caba","02007","Comuna 1",9,317,326
"020071315","02","Caba","02007","Comuna 1",2,336,338
"020071316","02","Caba","02007","Comuna 1",76,333,409
"020071317","02","Caba","02007","Comuna 1",20,252,272
"020071318","02","Caba","02007","Comuna 1",6,243,249
"020071401","02","Caba","02007","Comuna 1",53,290,343
"020071402","02","Caba","02007","Comuna 1",28,332,360
"020071403","02","Caba","02007","Comuna 1",11,207,218
"020071404","02","Caba","02007","Comuna 1",2,193,195
"020071405","02","Caba","02007","Comuna 1",154,232,386
"020071406","02","Caba","02007","Comuna 1",43,279,322
"020071407","02","Caba","02007","Comuna 1",9,324,333
"020071408","02","Caba","02007","Comuna 1",86,155,241
"020071409","02","Caba","02007","Comuna 1",29,246,275
"020071410","02","Caba","02007","Comuna 1",5,263,268
"020071411","02","Caba","02007","Comuna 1",10,199,209
"020071412","02","Caba","02007","Comuna 1",31,182,213
"020071501","02","Caba","02007","Comuna 1",77,287,364
"020071502","02","Caba","02007","Comuna 1",36,366,402
"020071503","02","Caba","02007","Comuna 1",26,268,294
"020071504","02","Caba","02007","Comuna 1",17,490,507
"020071505","02","Caba","02007","Comuna 1",17,278,295
"020071506","02","Caba","02007","Comuna 1",85,281,366
"020071507","02","Caba","02007","Comuna 1",40,287,327
"020071508","02","Caba","02007","Comuna 1",121,284,405
"020071509","02","Caba","02007","Comuna 1",33,470,503
"020071510","02","Caba","02007","Comuna 1",63,307,370
"020071511","02","Caba","02007","Comuna 1",72,270,342
"020071601","02","Caba","02007","Comuna 1",73,240,313
"020071602","02","Caba","02007","Comuna 1",13,186,199
"020071603","02","Caba","02007","Comuna 1",83,356,439
"020071604","02","Caba","02007","Comuna 1",12,349,361
"020071605","02","Caba","02007","Comuna 1",12,144,156
"020071606","02","Caba","02007","Comuna 1",22,186,208
"020071607","02","Caba","02007","Comuna 1",92,418,510
"020071608","02","Caba","02007","Comuna 1",29,224,253
"020071609","02","Caba","02007","Comuna 1",6,160,166
"020071610","02","Caba","02007","Comuna 1",2,279,281
"020071611","02","Caba","02007","Comuna 1",16,174,190
"020071612","02","Caba","02007","Comuna 1",6,139,145
"020071701","02","Caba","02007","Comuna 1",99,385,484
"020071702","02","Caba","02007","Comuna 1",19,220,239
"020071703","02","Caba","02007","Comuna 1",40,304,344
"020071704","02","Caba","02007","Comuna 1",20,302,322
"020071705","02","Caba","02007","Comuna 1",46,264,310
"020071706","02","Caba","02007","Comuna 1",127,414,541
"020071707","02","Caba","02007","Comuna 1",73,288,361
"020071708","02","Caba","02007","Comuna 1",73,275,348
"020071709","02","Caba","02007","Comuna 1",22,221,243
"020071710","02","Caba","02007","Comuna 1",21,291,312
"020071711","02","Caba","02007","Comuna 1",44,201,245
"020071801","02","Caba","02007","Comuna 1",172,415,587
"020071802","02","Caba","02007","Comuna 1",52,331,383
"020071803","02","Caba","02007","Comuna 1",34,269,303
"020071804","02","Caba","02007","Comuna 1",73,470,543
"020071805","02","Caba","02007","Comuna 1",33,309,342
"020071806","02","Caba","02007","Comuna 1",31,418,449
"020071807","02","Caba","02007","Comuna 1",23,269,292
"020071808","02","Caba","02007","Comuna 1",14,291,305
"020071809","02","Caba","02007","Comuna 1",90,339,429
"020071901","02","Caba","02007","Comuna 1",94,392,486
"020071902","02","Caba","02007","Comuna 1",30,506,536
"020071903","02","Caba","02007","Comuna 1",7,144,151
"020071904","02","Caba","02007","Comuna 1",14,377,391
"020071905","02","Caba","02007","Comuna 1",15,218,233
"020071906","02","Caba","02007","Comuna 1",85,258,343
"020071907","02","Caba","02007","Comuna 1",111,286,397
"020071908","02","Caba","02007","Comuna 1",60,142,202
"020071909","02","Caba","02007","Comuna 1",14,271,285
"020072001","02","Caba","02007","Comuna 1",54,231,285
"020072002","02","Caba","02007","Comuna 1",22,331,353
"020072003","02","Caba","02007","Comuna 1",6,339,345
"020072004","02","Caba","02007","Comuna 1",36,299,335
"020072005","02","Caba","02007","Comuna 1",12,395,407
"020072006","02","Caba","02007","Comuna 1",36,266,302
"020072007","02","Caba","02007","Comuna 1",7,251,258
"020072008","02","Caba","02007","Comuna 1",41,308,349
"020072009","02","Caba","02007","Comuna 1",32,256,288
"020072010","02","Caba","02007","Comuna 1",61,317,378
"020072101","02","Caba","02007","Comuna 1",28,210,238
"020072102","02","Caba","02007","Comuna 1",36,338,374
"020072103","02","Caba","02007","Comuna 1",78,299,377
"020072104","02","Caba","02007","Comuna 1",222,334,556
"020072105","02","Caba","02007","Comuna 1",76,288,364
"020072106","02","Caba","02007","Comuna 1",63,259,322
"020072107","02","Caba","02007","Comuna 1",77,298,375
"020072108","02","Caba","02007","Comuna 1",23,228,251
"020072109","02","Caba","02007","Comuna 1",27,323,350
"020072110","02","Caba","02007","Comuna 1",52,381,433
"020072201","02","Caba","02007","Comuna 1",5,402,407
"020072202","02","Caba","02007","Comuna 1",17,405,422
"020072203","02","Caba","02007","Comuna 1",57,323,380
"020072204","02","Caba","02007","Comuna 1",21,228,249
"020072205","02","Caba","02007","Comuna 1",11,230,241
"020072206","02","Caba","02007","Comuna 1",22,261,283
"020072207","02","Caba","02007","Comuna 1",14,315,329
"020072208","02","Caba","02007","Comuna 1",95,255,350
"020072209","02","Caba","02007","Comuna 1",48,443,491
"020072210","02","Caba","02007","Comuna 1",47,659,706
"020072301","02","Caba","02007","Comuna 1",9,369,378
"020072302","02","Caba","02007","Comuna 1",4,254,258
"020072303","02","Caba","02007","Comuna 1",74,362,436
"020072304","02","Caba","02007","Comuna 1",18,122,140
"020072305","02","Caba","02007","Comuna 1",26,210,236
"020072306","02","Caba","02007","Comuna 1",3,250,253
"020072307","02","Caba","02007","Comuna 1",32,199,231
"020072308","02","Caba","02007","Comuna 1",11,283,294
"020072309","02","Caba","02007","Comuna 1",4,427,431
"020072310","02","Caba","02007","Comuna 1",30,116,146
"020072401","02","Caba","02007","Comuna 1",5,142,147
"020072402","02","Caba","02007","Comuna 1",9,349,358
"020072403","02","Caba","02007","Comuna 1",3,274,277
"020072404","02","Caba","02007","Comuna 1",22,180,202
"020072405","02","Caba","02007","Comuna 1",13,180,193
"020072406","02","Caba","02007","Comuna 1",9,485,494
"020072407","02","Caba","02007","Comuna 1",23,464,487
"020072408","02","Caba","02007","Comuna 1",14,217,231
"020072501","02","Caba","02007","Comuna 1",15,206,221
"020072502","02","Caba","02007","Comuna 1",6,205,211
"020072503","02","Caba","02007","Comuna 1",4,250,254
"020072504","02","Caba","02007","Comuna 1",2,430,432
"020072505","02","Caba","02007","Comuna 1",25,287,312
"020072506","02","Caba","02007","Comuna 1",55,232,287
"020072507","02","Caba","02007","Comuna 1",7,232,239
"020072508","02","Caba","02007","Comuna 1",28,368,396
"020072509","02","Caba","02007","Comuna 1",6,230,236
"020072510","02","Caba","02007","Comuna 1",13,214,227
"020072511","02","Caba","02007","Comuna 1",9,247,256
"020072601","02","Caba","02007","Comuna 1",32,148,180
"020072602","02","Caba","02007","Comuna 1",9,334,343
"020072603","02","Caba","02007","Comuna 1",6,257,263
"020072604","02","Caba","02007","Comuna 1",5,282,287
"020072605","02","Caba","02007","Comuna 1",28,564,592
"020072606","02","Caba","02007","Comuna 1",1,199,200
"020072607","02","Caba","02007","Comuna 1",8,322,330
"020072608","02","Caba","02007","Comuna 1",4,299,303
"020072609","02","Caba","02007","Comuna 1",9,392,401
"020072701","02","Caba","02007","Comuna 1",11,189,200
"020072702","02","Caba","02007","Comuna 1",137,195,332
"020072703","02","Caba","02007","Comuna 1",69,207,276
"020072704","02","Caba","02007","Comuna 1",128,175,303
"020072705","02","Caba","02007","Comuna 1",25,213,238
"020072706","02","Caba","02007","Comuna 1",131,212,343
"020072707","02","Caba","02007","Comuna 1",79,163,242
"020072708","02","Caba","02007","Comuna 1",88,351,439
"020072709","02","Caba","02007","Comuna 1",89,235,324
"020072710","02","Caba","02007","Comuna 1",24,236,260
"020072801","02","Caba","02007","Comuna 1",19,153,172
"020072802","02","Caba","02007","Comuna 1",116,203,319
"020072803","02","Caba","02007","Comuna 1",64,162,226
"020072804","02","Caba","02007","Comuna 1",77,223,300
"020072805","02","Caba","02007","Comuna 1",22,337,359
"020072806","02","Caba","02007","Comuna 1",120,212,332
"020072807","02","Caba","02007","Comuna 1",46,222,268
"020072808","02","Caba","02007","Comuna 1",17,113,130
"020072809","02","Caba","02007","Comuna 1",114,335,449
"020072810","02","Caba","02007","Comuna 1",86,328,414
"020072811","02","Caba","02007","Comuna 1",210,130,340
"020072812","02","Caba","02007","Comuna 1",66,161,227
"020072813","02","Caba","02007","Comuna 1",138,185,323
"020072901","02","Caba","02007","Comuna 1",145,331,476
"020072902","02","Caba","02007","Comuna 1",176,147,323
"020072903","02","Caba","02007","Comuna 1",73,243,316
"020072904","02","Caba","02007","Comuna 1",47,254,301
"020072905","02","Caba","02007","Comuna 1",154,340,494
"020072906","02","Caba","02007","Comuna 1",57,280,337
"020072907","02","Caba","02007","Comuna 1",30,285,315
"020072908","02","Caba","02007","Comuna 1",78,204,282
"020072909","02","Caba","02007","Comuna 1",72,339,411
"020073001","02","Caba","02007","Comuna 1",61,247,308
"020073002","02","Caba","02007","Comuna 1",53,276,329
"020073003","02","Caba","02007","Comuna 1",28,147,175
"020073004","02","Caba","02007","Comuna 1",57,142,199
"020073005","02","Caba","02007","Comuna 1",41,61,102
"020073006","02","Caba","02007","Comuna 1",73,184,257
"020073007","02","Caba","02007","Comuna 1",47,233,280
"020073008","02","Caba","02007","Comuna 1",80,179,259
"020073009","02","Caba","02007","Comuna 1",21,191,212
"020073010","02","Caba","02007","Comuna 1",110,180,290
"020073011","02","Caba","02007","Comuna 1",100,230,330
"020073012","02","Caba","02007","Comuna 1",111,283,394
"020073013","02","Caba","02007","Comuna 1",66,193,259
"020140101","02","Caba","02014","Comuna 2",2,20,22
"020140102","02","Caba","02014","Comuna 2",13,150,163
"020140201","02","Caba","02014","Comuna 2",7,377,384
"020140202","02","Caba","02014","Comuna 2",7,467,474
"020140203","02","Caba","02014","Comuna 2",4,247,251
"020140204","02","Caba","02014","Comuna 2",5,269,274
"020140205","02","Caba","02014","Comuna 2",5,292,297
"020140206","02","Caba","02014","Comuna 2",5,217,222
"020140207","02","Caba","02014","Comuna 2",1,172,173
"020140208","02","Caba","02014","Comuna 2",3,333,336
"020140301","02","Caba","02014","Comuna 2",6,483,489
"020140302","02","Caba","02014","Comuna 2",8,502,510
"020140303","02","Caba","02014","Comuna 2",4,137,141
"020140304","02","Caba","02014","Comuna 2",2,212,214
"020140305","02","Caba","02014","Comuna 2",10,355,365
"020140306","02","Caba","02014","Comuna 2",11,516,527
"020140307","02","Caba","02014","Comuna 2",2,391,393
"020140308","02","Caba","02014","Comuna 2",3,300,303
"020140401","02","Caba","02014","Comuna 2",7,395,402
"020140402","02","Caba","02014","Comuna 2",0,158,158
"020140403","02","Caba","02014","Comuna 2",2,182,184
"020140404","02","Caba","02014","Comuna 2",1,265,266
"020140405","02","Caba","02014","Comuna 2",2,373,375
"020140406","02","Caba","02014","Comuna 2",1,236,237
"020140407","02","Caba","02014","Comuna 2",2,307,309
"020140408","02","Caba","02014","Comuna 2",1,484,485
"020140409","02","Caba","02014","Comuna 2",1,332,333
"020140410","02","Caba","02014","Comuna 2",6,520,526
"020140501","02","Caba","02014","Comuna 2",7,328,335
"020140502","02","Caba","02014","Comuna 2",2,370,372
"020140503","02","Caba","02014","Comuna 2",5,301,306
"020140504","02","Caba","02014","Comuna 2",4,323,327
"020140505","02","Caba","02014","Comuna 2",9,422,431
"020140506","02","Caba","02014","Comuna 2",5,433,438
"020140507","02","Caba","02014","Comuna 2",5,407,412
"020140508","02","Caba","02014","Comuna 2",4,300,304
"020140509","02","Caba","02014","Comuna 2",4,232,236
"020140601","02","Caba","02014","Comuna 2",11,253,264
"020140602","02","Caba","02014","Comuna 2",5,631,636
"020140603","02","Caba","02014","Comuna 2",0,244,244
"020140604","02","Caba","02014","Comuna 2",4,367,371
"020140605","02","Caba","02014","Comuna 2",5,219,224
"020140606","02","Caba","02014","Comuna 2",19,356,375
"020140607","02","Caba","02014","Comuna 2",4,206,210
"020140608","02","Caba","02014","Comuna 2",8,245,253
"020140609","02","Caba","02014","Comuna 2",4,310,314
"020140610","02","Caba","02014","Comuna 2",5,239,244
"020140701","02","Caba","02014","Comuna 2",5,647,652
"020140702","02","Caba","02014","Comuna 2",4,509,513
"020140703","02","Caba","02014","Comuna 2",10,453,463
"020140704","02","Caba","02014","Comuna 2",1,373,374
"020140705","02","Caba","02014","Comuna 2",18,265,283
"020140706","02","Caba","02014","Comuna 2",3,341,344
"020140707","02","Caba","02014","Comuna 2",13,510,523
"020140708","02","Caba","02014","Comuna 2",8,226,234
"020140709","02","Caba","02014","Comuna 2",1,362,363
"020140801","02","Caba","02014","Comuna 2",4,374,378
"020140802","02","Caba","02014","Comuna 2",6,403,409
"020140803","02","Caba","02014","Comuna 2",10,556,566
"020140804","02","Caba","02014","Comuna 2",5,561,566
"020140805","02","Caba","02014","Comuna 2",10,600,610
"020140806","02","Caba","02014","Comuna 2",6,656,662
"020140807","02","Caba","02014","Comuna 2",31,1012,1043
"020140808","02","Caba","02014","Comuna 2",8,459,467
"020140901","02","Caba","02014","Comuna 2",4,396,400
"020140902","02","Caba","02014","Comuna 2",45,346,391
"020140903","02","Caba","02014","Comuna 2",17,479,496
"020140904","02","Caba","02014","Comuna 2",5,485,490
"020140905","02","Caba","02014","Comuna 2",9,536,545
"020140906","02","Caba","02014","Comuna 2",10,539,549
"020140907","02","Caba","02014","Comuna 2",5,459,464
"020140908","02","Caba","02014","Comuna 2",16,711,727
"020140909","02","Caba","02014","Comuna 2",8,639,647
"020141001","02","Caba","02014","Comuna 2",5,580,585
"020141002","02","Caba","02014","Comuna 2",4,374,378
"020141003","02","Caba","02014","Comuna 2",3,325,328
"020141004","02","Caba","02014","Comuna 2",1,504,505
"020141005","02","Caba","02014","Comuna 2",0,488,488
"020141006","02","Caba","02014","Comuna 2",3,329,332
"020141007","02","Caba","02014","Comuna 2",3,646,649
"020141008","02","Caba","02014","Comuna 2",1,497,498
"020141009","02","Caba","02014","Comuna 2",8,340,348
"020141101","02","Caba","02014","Comuna 2",9,693,702
"020141102","02","Caba","02014","Comuna 2",1,243,244
"020141103","02","Caba","02014","Comuna 2",13,708,721
"020141104","02","Caba","02014","Comuna 2",19,672,691
"020141105","02","Caba","02014","Comuna 2",1,287,288
"020141106","02","Caba","02014","Comuna 2",6,430,436
"020141201","02","Caba","02014","Comuna 2",3,367,370
"020141202","02","Caba","02014","Comuna 2",1,353,354
"020141203","02","Caba","02014","Comuna 2",2,450,452
"020141204","02","Caba","02014","Comuna 2",8,727,735
"020141205","02","Caba","02014","Comuna 2",11,608,619
"020141206","02","Caba","02014","Comuna 2",4,403,407
"020141207","02","Caba","02014","Comuna 2",0,276,276
"020141301","02","Caba","02014","Comuna 2",9,676,685
"020141302","02","Caba","02014","Comuna 2",6,457,463
"020141303","02","Caba","02014","Comuna 2",4,578,582
"020141304","02","Caba","02014","Comuna 2",2,577,579
"020141305","02","Caba","02014","Comuna 2",9,548,557
"020141306","02","Caba","02014","Comuna 2",9,400,409
"020141307","02","Caba","02014","Comuna 2",10,700,710
"020141401","02","Caba","02014","Comuna 2",2,304,306
"020141402","02","Caba","02014","Comuna 2",2,295,297
"020141403","02","Caba","02014","Comuna 2",2,245,247
"020141404","02","Caba","02014","Comuna 2",3,399,402
"020141405","02","Caba","02014","Comuna 2",15,419,434
"020141406","02","Caba","02014","Comuna 2",23,619,642
"020141407","02","Caba","02014","Comuna 2",29,384,413
"020141408","02","Caba","02014","Comuna 2",10,435,445
"020141409","02","Caba","02014","Comuna 2",11,618,629
"020141410","02","Caba","02014","Comuna 2",35,586,621
"020141501","02","Caba","02014","Comuna 2",7,283,290
"020141502","02","Caba","02014","Comuna 2",2,418,420
"020141503","02","Caba","02014","Comuna 2",14,744,758
"020141504","02","Caba","02014","Comuna 2",5,354,359
"020141505","02","Caba","02014","Comuna 2",4,232,236
"020141506","02","Caba","02014","Comuna 2",6,347,353
"020141507","02","Caba","02014","Comuna 2",3,326,329
"020141508","02","Caba","02014","Comuna 2",5,360,365
"020141601","02","Caba","02014","Comuna 2",23,338,361
"020141602","02","Caba","02014","Comuna 2",10,334,344
"020141603","02","Caba","02014","Comuna 2",2,366,368
"020141604","02","Caba","02014","Comuna 2",5,356,361
"020141605","02","Caba","02014","Comuna 2",6,405,411
"020141606","02","Caba","02014","Comuna 2",5,362,367
"020141607","02","Caba","02014","Comuna 2",5,506,511
"020141608","02","Caba","02014","Comuna 2",1,313,314
"020141701","02","Caba","02014","Comuna 2",11,555,566
"020141702","02","Caba","02014","Comuna 2",4,446,450
"020141703","02","Caba","02014","Comuna 2",9,535,544
"020141704","02","Caba","02014","Comuna 2",3,233,236
"020141705","02","Caba","02014","Comuna 2",10,388,398
"020141706","02","Caba","02014","Comuna 2",10,589,599
"020141707","02","Caba","02014","Comuna 2",11,592,603
"020141708","02","Caba","02014","Comuna 2",12,489,501
"020141709","02","Caba","02014","Comuna 2",1,362,363
"020141801","02","Caba","02014","Comuna 2",6,509,515
"020141802","02","Caba","02014","Comuna 2",14,644,658
"020141803","02","Caba","02014","Comuna 2",4,491,495
"020141804","02","Caba","02014","Comuna 2",4,297,301
"020141805","02","Caba","02014","Comuna 2",4,307,311
"020141806","02","Caba","02014","Comuna 2",2,421,423
"020141807","02","Caba","02014","Comuna 2",17,265,282
"020141808","02","Caba","02014","Comuna 2",16,270,286
"020141901","02","Caba","02014","Comuna 2",5,430,435
"020141902","02","Caba","02014","Comuna 2",9,392,401
"020141903","02","Caba","02014","Comuna 2",10,313,323
"020141904","02","Caba","02014","Comuna 2",10,558,568
"020141905","02","Caba","02014","Comuna 2",2,373,375
"020141906","02","Caba","02014","Comuna 2",8,428,436
"020141907","02","Caba","02014","Comuna 2",8,365,373
"020141908","02","Caba","02014","Comuna 2",17,432,449
"020142001","02","Caba","02014","Comuna 2",7,415,422
"020142002","02","Caba","02014","Comuna 2",42,482,524
"020142003","02","Caba","02014","Comuna 2",26,516,542
"020142004","02","Caba","02014","Comuna 2",16,307,323
"020142005","02","Caba","02014","Comuna 2",52,383,435
"020142006","02","Caba","02014","Comuna 2",50,362,412
"020142007","02","Caba","02014","Comuna 2",10,456,466
"020142008","02","Caba","02014","Comuna 2",3,367,370
"020142009","02","Caba","02014","Comuna 2",17,215,232
"020142101","02","Caba","02014","Comuna 2",12,462,474
"020142102","02","Caba","02014","Comuna 2",29,536,565
