id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,tipo_figura,fuente_match
5495,PEREYRA LUCENA,PEREYRA LUCENA,Palermo,Palermo,Palermo,14.0,CALLE,108.869506550493,"LINESTRING (-58.40121850173417 -34.58388114651017, -58.400609728394535 -34.58303877786316)",,,,,
5497,FRENCH,FRENCH,Palermo,Palermo,Palermo,14.0,CALLE,96.60206319927488,"LINESTRING (-58.410717208283 -34.58388814383104, -58.41143804182869 -34.58325344076447)",,,,,
5498,ESTOMBA,ESTOMBA,Villa Ortuzar,Villa Ortuzar,Villa Ortuzar,15.0,CALLE,121.4485693705145,"LINESTRING (-58.46485463633785 -34.5839196729704, -58.46480616722588 -34.582825639480355)",,,,,
5499,GUEVARA,GUEVARA,Villa Ortuzar,Villa Ortuzar,Villa Ortuzar,15.0,CALLE,130.1294579909722,"LINESTRING (-58.46485463633785 -34.5839196729704, -58.466271842787414 -34.583874082479966)",,,,,
5500,ECHEVERRIA,ECHEVERRIA,Villa Urquiza,Villa Urquiza,Villa Urquiza,12.0,CALLE,103.8760764389647,"LINESTRING (-58.48889771146309 -34.58339473545251, -58.48983178010473 -34.58392384138317)",,,,,
5501,DE LOS CONSTITUYENTES AV.,DE LOS CONSTITUYENTES,,Villa Pueyrredon,Villa Urquiza,,AVENIDA,57.20399618021239,"LINESTRING (-58.48983178010473 -34.58392384138317, -58.49026370241215 -34.58355197939625)",,,,,
5502,GUEMES,GUEMES,Palermo,Palermo,Palermo,14.0,CALLE,100.2419670650375,"LINESTRING (-58.42041336259011 -34.583920739506844, -58.42123500296618 -34.58332516957291)",,,,,
5503,FRANCO,FRANCO,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,CALLE,151.6159107913192,"LINESTRING (-58.509171659079556 -34.583110625314916, -58.510353916999904 -34.58384039976383, -58.51049599372337 -34.58392802254716)",,,,,
5504,CUENCA,CUENCA,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,CALLE,100.5563336104677,"LINESTRING (-58.51049599372337 -34.58392802254716, -58.511154285450324 -34.5832033164494)",,,,,
5505,THAMES,THAMES,Palermo,Palermo,Palermo,14.0,CALLE,148.0407850342777,"LINESTRING (-58.42517969665801 -34.58394520903981, -58.42402160597606 -34.58301602211221)",,,,,
5506,PARAGUAY,PARAGUAY,Palermo,Palermo,Palermo,14.0,CALLE,105.9880853628337,"LINESTRING (-58.42517969665801 -34.58394520903981, -58.42602729724416 -34.583296092836875)",,,,,
5508,FRENCH,FRENCH,Palermo,Palermo,Palermo,14.0,CALLE,8.224392074149078,"LINESTRING (-58.41065586746129 -34.58394220287094, -58.410717208283 -34.58388814383104)",,,,,
5509,COCHRANE,COCHRANE,Villa Devoto,Villa Devoto,Villa Devoto,11.0,CALLE,153.1079331100189,"LINESTRING (-58.51327091699624 -34.58311767790258, -58.51460764373935 -34.58394382840201)",,,,,
5510,LLAVALLOL,LLAVALLOL,Villa Devoto,Villa Devoto,Villa Devoto,11.0,CALLE,107.3225488562969,"LINESTRING (-58.51460764373935 -34.58394382840201, -58.51522800214037 -34.583256251595216, -58.51533493895231 -34.583191663632576)",,,,,
5511,HEREDIA,HEREDIA,Villa Ortuzar,Villa Ortuzar,Villa Ortuzar,15.0,CALLE,121.2473083703368,"LINESTRING (-58.46344330356427 -34.58395897927752, -58.46339434204245 -34.58286677625389)",,,,,
5512,GUEVARA,GUEVARA,Villa Ortuzar,Villa Ortuzar,Villa Ortuzar,15.0,CALLE,129.5657399602732,"LINESTRING (-58.46344330356427 -34.58395897927752, -58.46469072597409 -34.58392488631067, -58.46485463633785 -34.5839196729704)",,,,,
5513,VARSOVIA,VARSOVIA,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,116.6406752272931,"LINESTRING (-58.48205732418389 -34.58320372139435, -58.482938268794086 -34.583961765665954)",,,,,
5514,ANDONAEGUI,ANDONAEGUI,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,48.49236936620118,"LINESTRING (-58.482938268794086 -34.583961765665954, -58.4833199162315 -34.583659374213475)",,,,,
5515,14 DE JULIO,14 DE JULIO,Villa Ortuzar,Villa Ortuzar,Villa Ortuzar,15.0,CALLE,121.2667275042185,"LINESTRING (-58.46200676550191 -34.58400108595214, -58.46195901481338 -34.5829086711017)",,,,,
5516,GUEVARA,GUEVARA,Villa Ortuzar,Villa Ortuzar,Villa Ortuzar,15.0,CALLE,131.8875295180792,"LINESTRING (-58.46200676550191 -34.58400108595214, -58.46325878713906 -34.58396397944566, -58.46344330356427 -34.58395897927752)",,,,,
5517,"LOPEZ, CARLOS ANTONIO",CARLOS ANTONIO LOPEZ,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,CALLE,129.9517097549568,"LINESTRING (-58.49958047960134 -34.583306392009035, -58.49974681629734 -34.58340564003394, -58.500579962567976 -34.583922792156926, -58.50071606700073 -34.584006413994864)",,,,,
5518,CONDARCO,CONDARCO,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,CALLE,117.5251327077019,"LINESTRING (-58.50071606700073 -34.584006413994864, -58.501390529256476 -34.583264360894596, -58.50148576152266 -34.583159610916)",,,,,
5519,GANDARA,GANDARA,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,44.44407036144825,"LINESTRING (-58.481759690522296 -34.583779622356815, -58.48214836062111 -34.58401872223061)",,,,,
5520,BAZURCO,BAZURCO,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,CALLE,68.1706058794633,"LINESTRING (-58.511870547790345 -34.583644449970684, -58.512466459302416 -34.58401147152756)",,,,,
5521,CAMPANA,CAMPANA,,Villa Devoto,Villa Pueyrredon,,CALLE,123.6099677515029,"LINESTRING (-58.512466459302416 -34.58401147152756, -58.51327091699624 -34.58311767790258)",,,,,
5522,FRAY JUSTO SANTAMARIA DE ORO,FRAY JUSTO SANTAMARIA DE ORO,Palermo,Palermo,Palermo,14.0,CALLE,41.1569625765837,"LINESTRING (-58.42862144597946 -34.58401827907152, -58.428354545468395 -34.5837200989416)",,,,,
5523,SOLER,SOLER,Palermo,Palermo,Palermo,14.0,CALLE,99.78364685681773,"LINESTRING (-58.42862144597946 -34.58401827907152, -58.42940625595752 -34.58339560090001)",,,,,
5525,COSTA RICA,COSTA RICA,Palermo,Palermo,Palermo,14.0,CALLE,99.05649439969285,"LINESTRING (-58.43293182371144 -34.58402830111374, -58.43371668341098 -34.583415172868015)",,,,,
5526,ARISMENDI,ARISMENDI,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,144.5718025799298,"LINESTRING (-58.47465279968648 -34.58314498578815, -58.47580072159145 -34.584037706805724)",,,,,
5527,GAMARRA,GAMARRA,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,76.33418376112775,"LINESTRING (-58.47580072159145 -34.584037706805724, -58.47620501727418 -34.58355836022111, -58.47627755016176 -34.5834738439447)",,,,,
5529,"LUISONI, ARTURO, MAYOR",ARTURO MAYOR LUISONI,Retiro,Retiro,Retiro,1.0,CALLE,84.6733337836377,"LINESTRING (-58.37074423663571 -34.584010505195565, -58.3702238081406 -34.583380186337344)",,,,,
5530,ZANNI PEDRO COMODORO,ZANNI PEDRO,Retiro,Retiro,Retiro,1.0,CALLE,258.4173938512927,"LINESTRING (-58.37074423663571 -34.584010505195565, -58.37241513638692 -34.5830793914876, -58.37287638488188 -34.58362172271289)",,,,,
5532,GUEVARA,GUEVARA,Villa Ortuzar,Villa Ortuzar,Villa Ortuzar,15.0,CALLE,135.1166234740496,"LINESTRING (-58.46053514474772 -34.58404613272831, -58.4607303902864 -34.584038883342245, -58.46200676550191 -34.58400108595214)",,,,,
5533,HAMBURGO,HAMBURGO,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,54.24795682820962,"LINESTRING (-58.480153086799326 -34.58363802121132, -58.48048082005145 -34.584045025177566)",,,,,
5534,BAUNESS,BAUNESS,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,96.6659967597854,"LINESTRING (-58.48048082005145 -34.584045025177566, -58.480611852443566 -34.583991907105094, -58.48075573480321 -34.58390406811305, -58.48088905749208 -34.58381151207669, -58.4809926655047 -34.58372980547256, -58.48114700388162 -34.583565554655124, -58.48122063160352 -34.583448006509585)",,,,,
5535,DARREGUEYRA,DARREGUEYRA,Palermo,Palermo,Palermo,14.0,CALLE,143.343954587309,"LINESTRING (-58.4273309239307 -34.58404889203432, -58.42639611141251 -34.583013594120494)",,,,,
5536,GUATEMALA,GUATEMALA,Palermo,Palermo,Palermo,14.0,CALLE,97.9962736512274,"LINESTRING (-58.4273309239307 -34.58404889203432, -58.4281006683249 -34.583436499701)",,,,,
5537,DE LOS INCAS AV.,DE LOS INCAS,Parque Chas,Parque Chas,Parque Chas,15.0,AVENIDA,167.8085400455325,"LINESTRING (-58.47665127945284 -34.583038091433124, -58.47800232228184 -34.58405767308291)",,,,,
5538,AVALOS,AVALOS,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,76.61564042701006,"LINESTRING (-58.47800232228184 -34.58405767308291, -58.4782604597602 -34.583400869182235)",,,,,
5539,GIRIBONE,GIRIBONE,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,73.6424807086238,"LINESTRING (-58.4833199162315 -34.583659374213475, -58.48396075398454 -34.58405906341645)",,,,,
5540,BARZANA,BARZANA,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,95.09160909476643,"LINESTRING (-58.48396075398454 -34.58405906341645, -58.48454060430721 -34.58334859882743)",,,,,
