circuito_geo_id,partido_madre,partido_electoral,metros_lineales,pct_metros,metros_por_km2,area_km2,pct_votos_promedio,pct_votos_jefe_gobierno,pct_votos_legislativa,pct_votos_presidencial,tasa_nbi_circuito,indice_edu_circuito
109,PS,PS,281.9390568440628,9.08,200.2,1.4085,9.83,,2.15,17.51,3.15,5.84
11,Liberalismo,Liberalismo,713.0490020056229,40.73,1292.0,0.5519,22.32,18.07,33.79,12.98,9.49,6.23
11,PJ,PJ,1037.4566261963234,59.27,1879.8,0.5519,35.61,39.03,22.3,47.21,9.49,6.23
110,PS,PS,1254.3836402105244,100.0,1526.0,0.822,9.8,,1.96,17.64,3.07,5.83
111,Liberalismo,Liberalismo,879.7629209879564,100.0,918.3,0.958,21.14,16.99,32.36,12.0,6.15,5.49
112,Liberalismo,Liberalismo,1416.9883677100804,100.0,2612.4,0.5424,20.65,16.02,31.8,11.82,9.23,5.76
113,Liberalismo,Liberalismo,1535.3228184502927,53.54,1433.4,1.0711,21.36,14.93,33.92,12.01,1.91,5.77
113,PS,PS,525.9751656280893,18.34,491.1,1.0711,9.62,,1.87,17.36,1.91,5.77
113,UCR,Centroderecha,806.346572636613,28.12,752.8,1.0711,41.09,48.8,43.52,34.8,1.91,5.77
114,PS,PS,721.2991812464586,51.01,665.5,1.0839,10.16,,2.06,18.26,2.92,5.99
114,UCR,Centroderecha,692.7732180430106,48.99,639.1,1.0839,41.87,49.86,43.96,35.77,2.92,5.99
115,PS,PS,677.869206261263,100.0,740.1,0.9159,9.49,,2.05,16.93,3.16,5.81
116,Liberalismo,Liberalismo,930.6355836027705,45.02,745.8,1.2479,18.97,12.68,30.47,10.61,5.28,5.92
116,PS,PS,1136.5789518469758,54.98,910.8,1.2479,9.85,,2.04,17.66,5.28,5.92
118,Liberalismo,Liberalismo,400.8343158923102,34.51,471.3,0.8504,20.56,13.42,34.56,10.14,1.82,6.51
118,UCR,Centroderecha,760.6768391087571,65.49,894.5,0.8504,46.94,55.84,48.67,40.76,1.82,6.51
119,Liberalismo,Liberalismo,647.496121945557,100.0,526.2,1.2306,20.34,11.52,34.54,10.56,2.01,6.24
12,Liberalismo,Liberalismo,846.5809377007939,45.0,1600.0,0.5291,21.24,15.64,32.6,12.69,14.93,6.14
12,UCR,Centroderecha,1034.5213822445367,55.0,1955.2,0.5291,41.16,47.97,43.67,35.25,14.93,6.14
120,Liberalismo,Liberalismo,1113.0660500752765,34.92,687.1,1.6199,22.39,13.45,37.2,12.04,2.16,6.37
120,UCR,Centroderecha,2074.5633081744277,65.08,1280.7,1.6199,47.59,57.9,48.98,41.06,2.16,6.37
121,Liberalismo,Liberalismo,1544.75271479985,44.55,953.2,1.6206,22.53,14.62,36.66,12.36,3.24,5.85
121,UCR,Centroderecha,1922.8707570748725,55.45,1186.5,1.6206,45.96,55.2,47.98,39.3,3.24,5.85
122,Liberalismo,Liberalismo,4715.772051620308,94.54,2976.0,1.5846,24.01,13.16,42.06,11.39,0.75,6.8
122,UCR,Centroderecha,272.4659929449124,5.46,171.9,1.5846,54.04,65.84,53.8,48.38,0.75,6.8
123,Liberalismo,Liberalismo,873.310284477981,100.0,552.2,1.5816,21.78,12.77,36.38,11.7,1.3,6.3
124,PJ,PJ,158.7672383500091,59.56,91.3,1.7384,35.32,39.66,22.11,46.35,2.02,5.9
124,UCR,Centroderecha,107.809389654585,40.44,62.0,1.7384,41.87,50.46,43.65,35.8,2.02,5.9
125,Liberalismo,Liberalismo,1101.0493136494947,75.61,703.1,1.5661,20.03,11.7,33.76,10.48,2.78,6.21
