Año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_electores,mesa_tipo,cargo_id,cargo_nombre,votos_tipo,votos_cantidad,agrupacion_id,agrupacion_nombre
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000163,7224,344,NATIVOS,1,PRESIDENTE,POSITIVO,115,135,JUNTOS POR EL CAMBIO
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000163,7225,344,NATIVOS,1,PRESIDENTE,POSITIVO,128,135,JUNTOS POR EL CAMBIO
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000163,7226,345,NATIVOS,1,PRESIDENTE,POSITIVO,108,135,JUNTOS POR EL CAMBIO
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000163,7214,345,NATIVOS,1,PRESIDENTE,POSITIVO,8,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000163,7215,345,NATIVOS,1,PRESIDENTE,POSITIVO,3,131,FRENTE NOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000163,7215,345,NATIVOS,1,PRESIDENTE,POSITIVO,10,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000163,7216,344,NATIVOS,1,PRESIDENTE,POSITIVO,0,131,FRENTE NOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000163,7216,344,NATIVOS,1,PRESIDENTE,POSITIVO,8,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000159,6999,340,NATIVOS,1,PRESIDENTE,POSITIVO,16,137,CONSENSO FEDERAL
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000159,7000,341,NATIVOS,1,PRESIDENTE,POSITIVO,15,137,CONSENSO FEDERAL
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7173,348,NATIVOS,1,PRESIDENTE,POSITIVO,1,131,FRENTE NOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7169,347,NATIVOS,1,PRESIDENTE,POSITIVO,109,135,JUNTOS POR EL CAMBIO
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7170,346,NATIVOS,1,PRESIDENTE,POSITIVO,109,135,JUNTOS POR EL CAMBIO
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7171,346,NATIVOS,1,PRESIDENTE,POSITIVO,106,135,JUNTOS POR EL CAMBIO
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7172,348,NATIVOS,1,PRESIDENTE,POSITIVO,128,135,JUNTOS POR EL CAMBIO
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7173,348,NATIVOS,1,PRESIDENTE,POSITIVO,119,135,JUNTOS POR EL CAMBIO
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7162,347,NATIVOS,1,PRESIDENTE,POSITIVO,133,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7163,347,NATIVOS,1,PRESIDENTE,POSITIVO,128,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7178,347,NATIVOS,1,PRESIDENTE,POSITIVO,108,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7179,346,NATIVOS,1,PRESIDENTE,POSITIVO,122,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7164,347,NATIVOS,1,PRESIDENTE,POSITIVO,5,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7165,350,NATIVOS,1,PRESIDENTE,POSITIVO,4,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
