año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccion_id,seccion_nombre,circuito_id,circuito_nombre,mesa_id,mesa_tipo,mesa_electores,cargo_id,cargo_nombre,votos_tipo,votos_cantidad,agrupacion_id,agrupacion_nombre
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,479,NATIVOS,343,1,PRESIDENTE,POSITIVO,55,135,LA LIBERTAD AVANZA
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,479,NATIVOS,343,1,PRESIDENTE,POSITIVO,9,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,479,NATIVOS,343,1,PRESIDENTE,POSITIVO,4,133,HACEMOS POR NUESTRO PAIS
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,479,NATIVOS,343,1,PRESIDENTE,EN BLANCO,2,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,479,NATIVOS,343,1,PRESIDENTE,NULO,2,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,479,NATIVOS,343,1,PRESIDENTE,IMPUGNADO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,479,NATIVOS,343,1,PRESIDENTE,RECURRIDO,1,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,479,NATIVOS,343,1,PRESIDENTE,COMANDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,480,NATIVOS,344,1,PRESIDENTE,POSITIVO,94,134,UNION POR LA PATRIA
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,480,NATIVOS,344,1,PRESIDENTE,POSITIVO,69,132,JUNTOS POR EL CAMBIO
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,480,NATIVOS,344,1,PRESIDENTE,POSITIVO,65,135,LA LIBERTAD AVANZA
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,480,NATIVOS,344,1,PRESIDENTE,POSITIVO,14,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,480,NATIVOS,344,1,PRESIDENTE,POSITIVO,9,133,HACEMOS POR NUESTRO PAIS
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,480,NATIVOS,344,1,PRESIDENTE,EN BLANCO,3,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma de Buenos Aires,0,1,Comuna 01,00018,00018,480,NATIVOS,344,1,PRESIDENTE,NULO,3,undefined,undefined
