circuito_geo_id,pct_metros,lisa_I,lisa_p,lisa_cluster
9,16.11,-0.5700861968711184,0.352,ns
11,59.27,-0.32705648454358954,0.18,ns
32,42.04,-0.11062421617905918,0.183,ns
33,59.8,0.37960154261359885,0.13,ns
34,67.34,0.1346129845467284,0.348,ns
54,23.32,-0.0,0.001,Low-Low
64,64.59,0.6788792496679295,0.078,ns
67,84.35,1.0050030433441755,0.213,ns
75,65.83,0.16374518985079806,0.283,ns
76,100.0,1.5183061335294732,0.176,ns
79,100.0,0.0,0.001,High-Low
84,24.17,0.6140889282860722,0.066,ns
85,10.57,0.05758821573131605,0.483,ns
86,46.3,0.00445658495284612,0.068,ns
87,43.05,0.08642767877605458,0.078,ns
91,27.18,0.3643385638726929,0.069,ns
92,26.65,0.5174642268359899,0.054,ns
93,17.61,0.6759033761743942,0.066,ns
96,40.07,0.15513918567653082,0.078,ns
97,47.3,-0.0139323287844864,0.277,ns
124,59.56,0.0,0.001,High-Low
89,16.31,0.475270072703134,0.293,ns
90,28.6,0.3848550634207342,0.047,Low-Low
