circuito_geo_id,pct_metros,lisa_I,lisa_p,lisa_cluster
1,100.0,-0.22827850981024997,0.342,ns
3,38.55,-0.6356074014766206,0.204,ns
4,71.84,-0.004653391875852457,0.482,ns
5,100.0,0.07437134738887091,0.426,ns
6,100.0,0.4980291417122829,0.115,ns
7,100.0,0.4980291417122829,0.115,ns
8,100.0,0.49802914171228285,0.187,ns
10,100.0,0.49802914171228285,0.187,ns
12,100.0,0.4980291417122829,0.333,ns
14,100.0,-0.20806718216007042,0.319,ns
16,100.0,0.4980291417122829,0.115,ns
18,100.0,0.4980291417122829,0.333,ns
19,100.0,0.49802914171228285,0.187,ns
20,100.0,0.4442110645774969,0.213,ns
26,100.0,0.4980291417122829,0.115,ns
27,100.0,0.4980291417122829,0.333,ns
35,100.0,0.23197242510085542,0.407,ns
37,100.0,0.4980291417122829,0.333,ns
38,100.0,0.4980291417122829,0.333,ns
39,100.0,0.4980291417122829,0.333,ns
48,100.0,0.49802914171228285,0.187,ns
49,100.0,0.4980291417122829,0.425,ns
55,100.0,0.4980291417122829,0.333,ns
60,100.0,0.4980291417122829,0.425,ns
61,100.0,-0.34399131547999123,0.214,ns
63,77.49,0.011403209183395614,0.331,ns
67,15.65,0.34719953802004133,0.325,ns
68,100.0,-1.2176289080314642,0.002,High-Low
70,43.96,0.29309296636442306,0.286,ns
71,76.8,0.051540329561866646,0.097,ns
74,100.0,-0.7025946376475036,0.07,ns
75,26.87,0.1356313231224592,0.391,ns
76,58.71,0.0683943558405933,0.363,ns
77,100.0,-0.4015285920888062,0.114,ns
78,100.0,-0.4015285920888062,0.114,ns
84,22.15,3.9798078940952113,0.004,Low-Low
86,24.15,1.1228373220977748,0.039,Low-Low
87,28.73,0.33685142854304134,0.292,ns
88,100.0,-0.5487048797496455,0.136,ns
91,59.45,0.9982389871002876,0.004,Low-Low
92,8.78,3.438295065817817,0.012,Low-Low
97,52.7,-0.19920522803879226,0.488,ns
98,100.0,-0.06103272837747787,0.435,ns
99,100.0,-0.20369397091412508,0.348,ns
101,40.63,1.3033891043222257,0.057,ns
102,17.97,0.8081118332503786,0.215,ns
103,100.0,-0.14833936009833132,0.342,ns
104,100.0,-0.3754784364507971,0.129,ns
105,69.43,0.021422552160358904,0.392,ns
106,27.84,1.494223521044885,0.085,ns
113,28.12,1.124387251310216,0.169,ns
114,48.99,1.7070520187427687,0.104,ns
118,65.49,0.16588119816012406,0.239,ns
120,79.57,-0.01012737017662876,0.191,ns
121,100.0,-0.10131354979959008,0.368,ns
122,24.23,-0.45008480664502315,0.316,ns
124,40.44,-0.9099084896850174,0.202,ns
125,100.0,-0.2059396739863673,0.343,ns
126,100.0,0.1460447338629578,0.345,ns
128,100.0,0.4980291417122829,0.071,ns
129,100.0,0.4980291417122829,0.119,ns
130,100.0,0.4980291417122829,0.027,High-High
131,100.0,0.1460447338629578,0.345,ns
132,100.0,0.4980291417122829,0.119,ns
133,100.0,0.4980291417122829,0.119,ns
135,100.0,0.4980291417122829,0.362,ns
136,100.0,0.4980291417122829,0.119,ns
137,100.0,0.4980291417122829,0.119,ns
138,100.0,0.4980291417122829,0.119,ns
141,100.0,0.4448414373697053,0.388,ns
144,100.0,0.4980291417122829,0.119,ns
145,100.0,0.4980291417122829,0.362,ns
146,100.0,0.19363787967468654,0.343,ns
149,95.5,0.3808251365043675,0.139,ns
150,97.67,0.09283716073106467,0.398,ns
151,100.0,-0.25577852287033814,0.193,ns
152,37.89,0.020923661431564898,0.425,ns
153,36.37,1.0237760766361457,0.076,ns
154,79.87,-0.02573822741984196,0.05,ns
155,61.37,-0.08662517457914348,0.409,ns
156,36.77,1.2528640920071068,0.034,Low-Low
157,32.94,1.9259593847126906,0.025,Low-Low
158,51.69,1.4468255524813622,0.002,Low-Low
160,41.03,1.0059247354034813,0.048,Low-Low
161,9.05,0.6025254121082624,0.259,ns
163,100.0,-0.6162532642647193,0.058,ns
167,100.0,-0.37093975234689713,0.207,ns
56,100.0,-0.37141253194105345,0.173,ns
57,100.0,0.13942581954477037,0.348,ns
89,82.71,-0.051810454900942285,0.253,ns
90,71.4,0.19466223751701628,0.082,ns
